Tempo,Referencia_Umidade,Saida_Umidade,Sinal_Controle_Umidade,Erro_Umidade
0,50,50,0,0
18,50,50,0,0
36,50,45.24,9.80845728856778,4.76
54,50,41.1739496264343,18.7218076796253,8.82605037356566
72,50,39.5470106677659,25.8990735060439,10.4529893322341
90,50,39.9170633620899,31.1078299061818,10.0829366379101
108,50,41.7211929924953,32.3474719640077,8.27880700750465
126,50,44.3575192657916,31.3723860627729,5.64248073420845
144,50,46.9506180196023,28.900035818387,3.0493819803977
162,50,49.0539140186098,25.4562567124105,0.946085981390191
180,50,50.4103492007844,22.3663082237949,-0.41034920078436
198,50,50.9181512033134,21.0188746901061,-0.918151203313386
216,50,50.7670195894273,20.7360647739836,-0.767019589427321
234,50,50.371497394296,21.4545189880776,-0.371497394295972
252,50,49.9784097897738,22.5261339180969,0.0215902102261651
270,50,49.7833313643484,23.0935415922362,0.216668635651644
288,50,49.8210390938441,23.1572905592428,0.178960906155901
306,50,49.9627705789285,22.7855373821569,0.0372294210715012
324,50,50.0937973680689,22.4072155821195,-0.0937973680689481
342,50,50.1335819378949,22.2765319827113,-0.133581937894938
360,50,50.095662389881,22.294146375301,-0.095662389881042
378,50,50.0373604514468,22.4280257066447,-0.0373604514467516
396,50,49.9911877251109,22.5639587020259,0.0088122748890882
414,50,49.977769844387,22.6047537214431,0.0222301556130162
432,50,49.9920367404714,22.5704928292715,0.00796325952858723
450,50,50.0117289122749,22.5124235546785,-0.0117289122748758
468,50,50.0217174278845,22.482914141479,-0.0217174278845036
486,50,50.0191774332926,22.4715305458645,-0.0191774332926258
504,50,50.0110844695866,22.4845192610719,-0.0110844695865708
522,50,50.0019532349633,22.5095733365619,-0.00195323496332378
540,50,49.9967339623017,22.5251807961446,0.0032660376982534
558,50,49.9970773342394,22.5270476346956,0.0029226657606003
576,50,50.000350882251,22.5173640189392,-0.000350882251012763
594,50,50.0034239678503,22.5082730495322,-0.00342396785029564
612,50,50.0041714446167,22.5041583226957,-0.00417144461670915
630,50,50.0030476428689,22.504477634464,-0.00304764286894255
648,50,50.0012696237058,22.5084861680768,-0.00126962370575257
666,50,49.9998189608366,22.5127885851741,0.00018103916342227
684,50,49.9993612203445,22.5141774408518,0.000638779655474764
702,50,49.9997852749097,22.513134201301,0.000214725090316392
720,50,50.0004029250754,22.5113061735941,-0.000402925075434268
738,50,50.0007219153932,22.5103620200794,-0.000721915393157246
756,50,50.0006457004854,22.5099505483367,-0.00064570048542123
774,50,50.0003901773137,22.5103218940977,-0.000390177313718709
792,50,50.0000911924177,22.5111168624029,-9.11924176847378e-05
810,50,49.9999095918784,22.5116592027251,9.0408121629082e-05
828,50,49.9999071737416,22.5117511776538,9.28262584452e-05
846,50,50.0000086072021,22.5114509404578,-8.60720207640497e-06
864,50,50.0001102034882,22.5111502213169,-0.000110203488169702
882,50,50.000138630821,22.5110134401205,-0.000138630820991636
900,50,50.0001047894859,22.5110102182229,-0.000104789485931178
918,50,50.0000485263428,22.5111288761361,-4.85263427592031e-05
936,50,49.9999999303299,22.5112727227077,6.96700723779031e-08
954,50,49.9999816692548,22.511327752934,1.83307451635528e-05
972,50,49.9999933825504,22.5112996108719,6.6174496282656e-06
990,50,50.0000135750019,22.5112398414473,-1.35750018586123e-05
1008,50,50.0000251180412,22.5112056741266,-2.51180411794394e-05
1026,50,50.00002355247,22.5111870698142,-2.3552469961885e-05
1044,50,50.000015293333,22.5111964274133,-1.529333302841e-05
1062,50,50.000004573049,22.5112236473146,-4.57304900436384e-06
1080,50,49.9999972905199,22.511245348076,2.70948014247097e-06
1098,50,49.9999963214407,22.5112491326396,3.6785592598676e-06
1116,50,49.9999995934013,22.5112398488198,4.06598708480033e-07
1134,50,50.0000030332884,22.5112296667608,-3.0332883511619e-06
1152,50,50.0000041605827,22.5112255616537,-4.16058269792074e-06
