Tempo,Referencia_Temperatura,Referencia_Umidade,Saida_Temperatura,Saida_Umidade,Erro_Temperatura,Erro_Umidade
1116,30,50,27.7429317917867,46.9314714609311,2.25706820821327,3.06852853906888
1134,30,50,27.7436856426438,46.9340210996052,2.25631435735624,3.06597890039481
1152,30,50,27.7443902346001,46.9365013158839,2.25560976539988,3.06349868411613
1170,30,50,27.745049264013,46.9389141954178,2.25495073598697,3.06108580458222
1188,30,50,27.7456660766572,46.9412616965339,2.25433392334284,3.05873830346615
1206,30,50,27.7462437123464,46.9435456596634,2.25375628765362,3.05645434033655
1224,30,50,27.7467849425494,46.9457678182215,2.25321505745062,3.0542321817785
1242,30,50,27.7472923020158,46.9479298103222,2.25270769798422,3.05207018967777
1260,30,50,27.7477681154019,46.9500331906196,2.25223188459814,3.04996680938044
1278,30,50,27.7482145197944,46.9520794416353,2.25178548020557,3.0479205583647
1296,30,50,27.7486334839094,46.9540699840984,2.25136651609056,3.04593001590158
1314,30,50,27.7490268246088,46.9560061860029,2.2509731753912,3.04399381399708
1332,30,50,27.7493962212515,46.9578893702606,2.25060377874855,3.04211062973937
1350,30,50,27.7497432282821,46.9597208209613,2.25025677171788,3.04027917903866
1368,30,50,27.7500692863671,46.9615017883469,2.24993071363293,3.03849821165311
1386,30,50,27.750375732312,46.9632334926618,2.24962426768803,3.03676650733821
1404,30,50,27.7506638079406,46.964917127067,2.24933619205936,3.03508287293299
1422,30,50,27.7509346680726,46.9665538598028,2.24906533192735,3.03344614019723
1440,30,50,27.7511893877087,46.9681448357709,2.24881061229128,3.0318551642291
1458,30,50,27.7514289685129,46.9696911776828,2.24857103148706,3.03030882231715
1476,30,50,27.7516543446671,46.9711939868918,2.24834565533286,3.02880601310819
1494,30,50,27.7518663881632,46.9726543440013,2.24813361183678,3.02734565599874
1512,30,50,27.752065913592,46.9740733093183,2.24793408640795,3.02592669068165
1530,30,50,27.7522536824821,46.9754519232014,2.24774631751789,3.02454807679862
1548,30,50,27.7524304072359,46.9767912063353,2.24756959276414,3.02320879366474
1566,30,50,27.7525967547075,46.978092159958,2.2474032452925,3.02190784004204
1584,30,50,27.7527533494615,46.9793557660532,2.24724665053851,3.02064423394683
1602,30,50,27.7529007767467,46.9805829875193,2.24709922325327,3.01941701248074
1620,30,50,27.7530395852178,46.9817747683214,2.24696041478217,3.01822523167863
1638,30,50,27.7531702894306,46.9829320336319,2.24682971056938,3.01706796636812
1656,30,50,27.7532933721361,46.9840556899631,2.24670662786389,3.01594431003692
1674,30,50,27.7534092863938,46.9851466252956,2.24659071360622,3.01485337470444
1692,30,50,27.7535184575224,46.9862057092052,2.24648154247755,3.01379429079476
1710,30,50,27.7536212849045,46.9872337929917,2.24637871509548,3.01276620700829
1728,30,50,27.7537181436576,46.9882317098105,2.24628185634244,3.01176829018949
1746,30,50,27.7538093861852,46.9892002748109,2.2461906138148,3.01079972518905
1764,30,50,27.753895343618,46.9901402852816,2.24610465638195,3.00985971471842
