Tempo,Referencia_Temperatura,Referencia_Umidade,Saida_Temperatura,Saida_Umidade,Erro_Temperatura,Erro_Umidade
18,30,50,22,50,8,0
36,30,50,22,50,8,0
54,30,50,22,50,8,0
72,30,50,22,50,8,0
90,30,50,22,50,8,0
108,30,50,22,50,8,0
126,30,50,22,50,8,0
144,30,50,22.7415427741305,48.8412768105614,7.25845722586952,1.15872318943859
162,30,50,23.4602421748036,47.7493108566072,6.53975782519638,2.25068914339283
180,30,50,24.1568018967072,46.9368700576405,5.84319810329282,3.06312994235946
198,30,50,24.8279356740886,46.3590362030707,5.17206432591145,3.64096379692931
216,30,50,25.390618373406,45.9362716067714,4.60938162659403,4.06372839322861
234,30,50,25.8492505228397,45.6073295663006,4.15074947716029,4.39267043369937
252,30,50,26.2151673505223,45.4350420136799,3.7848326494777,4.56495798632014
270,30,50,26.4984001772854,45.3938993299971,3.50159982271461,4.60610067000286
288,30,50,26.7142608081329,45.4436485333718,3.28573919186709,4.55635146662823
306,30,50,26.876713455242,45.5529083855551,3.12328654475799,4.44709161444494
324,30,50,26.9991519873867,45.6898834642785,3.00084801261328,4.31011653572151
342,30,50,27.0929557140338,45.831336791006,2.90704428596617,4.16866320899397
360,30,50,27.1669069822814,45.9632826208641,2.83309301771858,4.03671737913592
378,30,50,27.2275389836672,46.0782436870216,2.77246101633283,3.92175631297842
396,30,50,27.2793084169273,46.1735423028451,2.7206915830727,3.82645769715489
414,30,50,27.3250341509895,46.2495092936383,2.67496584901054,3.75049070636167
432,30,50,27.3663756228036,46.3082767051642,2.63362437719643,3.6917232948358
450,30,50,27.4042108861853,46.3528557428951,2.59578911381471,3.64714425710491
468,30,50,27.4389470248256,46.3864423177075,2.56105297517441,3.61355768229245
486,30,50,27.4707446818325,46.4119969535569,2.52925531816747,3.58800304644311
504,30,50,27.4996665029725,46.4320092007432,2.5003334970275,3.56799079925683
522,30,50,27.5257668264715,46.4484094721694,2.47423317352851,3.55159052783061
540,30,50,27.549136227069,46.4625875514775,2.45086377293096,3.53741244852255
558,30,50,27.569915803384,46.47546845973,2.43008419661601,3.52453154027004
576,30,50,27.5882930555679,46.4876124916132,2.41170694443209,3.51238750838675
594,30,50,27.6044883779308,46.4993166161527,2.39551162206924,3.5006833838473
612,30,50,27.6187386877798,46.5107038008157,2.38126131222025,3.48929619918432
630,30,50,27.6312821400711,46.5217944225257,2.3687178599289,3.4782055774743
648,30,50,27.6423459831326,46.5325585617152,2.35765401686737,3.46744143828481
666,30,50,27.6521382645188,46.5429508976795,2.34786173548119,3.45704910232054
684,30,50,27.6608432208557,46.5529313609161,2.33915677914426,3.44706863908386
702,30,50,27.6686197248538,46.5624751216722,2.33138027514619,3.43752487832782
720,30,50,27.6756019844184,46.5715753235705,2.32439801558158,3.42842467642946
738,30,50,27.6819016963316,46.5802414377452,2.31809830366843,3.41975856225479
756,30,50,27.6876109707263,46.5884954386949,2.31238902927373,3.41150456130512
774,30,50,27.6928055010251,46.5963673344667,2.30719449897494,3.40363266553329
792,30,50,27.6975476178351,46.6038910014943,2.30245238216489,3.3961089985057
810,30,50,27.7018890104613,46.6111008181951,2.29811098953873,3.3888991818049
828,30,50,27.7058730147748,46.618029266671,2.29412698522516,3.38197073332903
846,30,50,27.7095364486073,46.6247054644534,2.29046355139271,3.37529453554661
864,30,50,27.7129110283317,46.6311544750653,2.28708897166832,3.36884552493471
882,30,50,27.7160244283596,46.6373972016617,2.28397557164036,3.36260279833828
900,30,50,27.7189010553075,46.643450668676,2.28109894469251,3.35654933132398
918,30,50,27.72156260663,46.6493285229169,2.27843739336999,3.35067147708309
936,30,50,27.7240284746667,46.6550416234617,2.27597152533328,3.3449583765383
954,30,50,27.7263160451541,46.6605986291712,2.27368395484591,3.33940137082884
972,30,50,27.7284409269768,46.6660065278558,2.27155907302324,3.33399347214423
990,30,50,27.7304171388689,46.6712710792284,2.26958286113106,3.3287289207716
1008,30,50,27.7322572697262,46.6763971640818,2.26774273027377,3.32360283591824
1026,30,50,27.733972622366,46.6813890452377,2.26602737763396,3.31861095476235
1044,30,50,27.7355733458352,46.6862505530176,2.26442665416484,3.31374944698241
1062,30,50,27.7370685583669,46.6909852107946,2.26293144163305,3.3090147892054
1080,30,50,27.7384664614276,46.6955963160507,2.26153353857244,3.30440368394927
