Tempo,Referencia_Temperatura,Saida_Temperatura,Sinal_Controle_Temperatura,Erro_Temperatura
0,30,22,0,8
18,30,22,0,8
36,30,22,0,8
54,30,22,0,8
72,30,22,0,8
90,30,21.2916,2.55831921169899,8.7084
108,30,20.60601048,5.37518827949932,9.39398952
126,30,19.942496942544,8.45830306636024,10.057503057456
144,30,19.3003485409941,11.5009139942478,10.6996514590059
162,30,18.9039070758351,14.2061070268666,11.0960929241649
180,30,18.7810246738455,16.7306772456144,11.2189753261545
198,30,18.9476277254074,18.7328975358033,11.0523722745926
216,30,19.3921872701911,20.1034968211256,10.6078127298089
234,30,20.0758676664048,20.947556185871,9.92413233359515
252,30,20.9733641828376,20.9627669959898,9.0266358171624
270,30,22.0309266705797,20.3516995556231,7.96907332942033
288,30,23.1851848606305,19.4745023725334,6.81481513936955
306,30,24.3834957490469,18.3481855589196,5.61650425095311
324,30,25.5488552318809,16.9881335857898,4.45114476811907
342,30,26.6230180703366,15.4064351875789,3.37698192966344
360,30,27.5823242678979,13.7934963890737,2.41767573210213
378,30,28.4072050453103,12.5070118852444,1.59279495468967
396,30,29.0801615375523,11.2696140830556,0.919838462447693
414,30,29.5853999750942,10.1683174104409,0.414600024905766
432,30,29.9244447933839,9.27550549625537,0.0755552066160945
450,30,30.1312033330834,8.65543610021581,-0.131203333083423
468,30,30.2159145309996,8.36910040219835,-0.215914530999598
486,30,30.1947296182065,8.37519210711117,-0.194729618206548
504,30,30.0900895235701,8.68808390426019,-0.0900895235700609
522,30,29.929733123262,9.19083908220678,0.0702668767379713
540,30,29.7461979578205,9.75646680263366,0.253802042179544
558,30,29.5676510023673,10.3125768393533,0.432348997632676
576,30,29.422406228135,10.7854791914267,0.577593771864983
594,30,29.3276533003327,11.1182247480147,0.67234669966734
612,30,29.28826305495,11.369396964739,0.71173694504996
630,30,29.3019356593956,11.5592458897988,0.698064340604432
648,30,29.3595950969532,11.5798075439745,0.640404903046768
666,30,29.4470732727511,11.4783690843736,0.552926727248931
684,30,29.5555214343543,11.2788994067824,0.444478565645685
702,30,29.6784551431853,10.9955303100941,0.321544856814675
720,30,29.8002053207218,10.6724793863754,0.19979467927817
738,30,29.9092172744549,10.346992281765,0.0907827255450826
