Tempo,Referencia_Temperatura,Referencia_Umidade,Saida_Temperatura,Saida_Umidade,Erro_Temperatura,Erro_Umidade
18,30,50,22,50,8,0
36,30,50,22,50,8,0
54,30,50,22,50,8,0
72,30,50,22,50,8,0
90,30,50,22,50,8,0
108,30,50,22,50,8,0
126,30,50,22,50,8,0
144,30,50,22.8551774949202,48.8090941593815,7.14482250507977,1.19090584061853
162,30,50,23.6812786321823,47.7020301455525,6.31872136781769,2.29796985444753
180,30,50,24.479292018923,46.8725636407352,5.52070798107703,3.12743635926484
198,30,50,25.2411201563424,46.2722504739811,4.75887984365763,3.72774952601893
216,30,50,25.8902205998167,45.8260486255775,4.10977940018331,4.17395137442249
234,30,50,26.406662758819,45.4769728462694,3.59333724118097,4.52302715373055
252,30,50,26.8045490113512,45.2453653826779,3.19545098864879,4.75463461732208
270,30,50,27.0964991486622,45.1731000649922,2.90350085133777,4.8268999350078
288,30,50,27.2987406494414,45.2245869218297,2.70125935055856,4.77541307817027
306,30,50,27.4302627298565,45.3607657387491,2.56973727014353,4.63923426125089
324,30,50,27.509620439931,45.5473960184684,2.49037956006902,4.45260398153157
342,30,50,27.5535676314385,45.7528407486954,2.4464323685615,4.24715925130458
360,30,50,27.5757455914542,45.9533860640257,2.42425440854576,4.04661393597429
378,30,50,27.5864882927748,46.1344511265821,2.41351170722524,3.86554887341791
396,30,50,27.5929955386426,46.2883264974464,2.40700446135736,3.71167350255357
414,30,50,27.599712788153,46.4123682756305,2.40028721184701,3.58763172436953
432,30,50,27.6089215430882,46.5075556033349,2.39107845691182,3.49244439666509
450,30,50,27.6213617138958,46.5771972345156,2.37863828610421,3.42280276548442
468,30,50,27.6367723670986,46.6258375544327,2.36322763290137,3.3741624455673
486,30,50,27.6543376072258,46.6583778154908,2.34566239277423,3.34162218450918
504,30,50,27.6730266997342,46.6794600347048,2.32697330026578,3.32053996529522
522,30,50,27.6918274506251,46.6930872381501,2.30817254937489,3.30691276184988
540,30,50,27.709886943596,46.7024388659841,2.29011305640404,3.29756113401588
558,30,50,27.7265785448867,46.7098402358075,2.27342145511331,3.29015976419248
576,30,50,27.7415149281416,46.7168361532063,2.25848507185842,3.28316384679374
594,30,50,27.7545256980539,46.7243217284865,2.24547430194615,3.27567827151346
612,30,50,27.7656154545811,46.732695308475,2.23438454541893,3.26730469152499
630,30,50,27.7749146029585,46.7420089909853,2.22508539704146,3.25799100901465
648,30,50,27.7826315102297,46.7521011405822,2.21736848977027,3.24789885941775
666,30,50,27.7890112671133,46.7627029504295,2.21098873288669,3.23729704957049
684,30,50,27.7943036173577,46.7735168290931,2.20569638264234,3.22648317090686
702,30,50,27.7987406123255,46.7842682693177,2.20125938767447,3.21573173068228
720,30,50,27.8025232091909,46.7947351669248,2.19747679080906,3.20526483307519
738,30,50,27.8058152720682,46.8047596184944,2.19418472793182,3.19524038150558
756,30,50,27.808743129615,46.8142473564293,2.191256870385,3.18575264357068
774,30,50,27.8113988588777,46.8231594871329,2.1886011411223,3.17684051286708
792,30,50,27.8138456852489,46.8315003594913,2.18615431475109,3.16849964050866
810,30,50,27.8161242137789,46.8393044269748,2.1838757862211,3.16069557302519
828,30,50,27.8182585626069,46.8466240308335,2.1817414373931,3.15337596916648
846,30,50,27.8202618036028,46.8535192188989,2.17973819639716,3.14648078110113
864,30,50,27.8221403980469,46.8600500715511,2.1778596019531,3.13994992844891
882,30,50,27.823897532761,46.8662715442313,2.17610246723904,3.13372845576866
900,30,50,27.8255354132477,46.8722305409033,2.17446458675234,3.12776945909674
918,30,50,27.827056661796,46.8779647777314,2.17294333820396,3.1220352222686
936,30,50,27.8284650112322,46.8835029477817,2.17153498876778,3.11649705221828
954,30,50,27.8297654916162,46.8888657225914,2.17023450838382,3.11113427740858
972,30,50,27.8309642898459,46.8940671955358,2.1690357101541,3.10593280446425
990,30,50,27.8320684313126,46.8991164612597,2.16793156868741,3.10088353874031
1008,30,50,27.8330853966932,46.9040191175696,2.16691460330675,3.09598088243039
1026,30,50,27.8340227515453,46.9087785596225,2.16597724845473,3.09122144037747
1044,30,50,27.8348878352802,46.9133970046639,2.16511216471977,3.08660299533609
1062,30,50,27.8356875312275,46.9178762365963,2.16431246877254,3.08212376340369
1080,30,50,27.8364281213682,46.9222180937747,2.16357187863176,3.07778190622534
