Tempo,Referencia_Temperatura,Referencia_Umidade,Saida_Temperatura,Saida_Umidade,Erro_Temperatura,Erro_Umidade
1116,30,50,27.6357018815426,46.990410477667,2.36429811845738,3.00958952233302
1134,30,50,27.6366861314851,46.9932521575873,2.36331386851485,3.00674784241265
1152,30,50,27.637603688506,46.9960162735922,2.362396311494,3.00398372640781
1170,30,50,27.6384598037536,46.998705250427,2.3615401962464,3.00129474957302
1188,30,50,27.6392592220472,47.0013213465999,2.36074077795278,2.99867865340013
1206,30,50,27.6400062410139,47.0038666751946,2.35999375898611,2.99613332480544
1224,30,50,27.6407047624453,47.0063432221782,2.35929523755469,2.99365677782182
1242,30,50,27.6413583368902,47.0087528625694,2.35864166310976,2.99124713743063
1260,30,50,27.6419702024023,47.0110973746838,2.35802979759765,2.98890262531617
1278,30,50,27.6425433182618,47.013378452604,2.35745668173825,2.98662154739602
1296,30,50,27.6430803943853,47.0155977169953,2.35691960561467,2.9844022830047
1314,30,50,27.6435839170435,47.0177567243925,2.35641608295646,2.98224327560748
1332,30,50,27.6440561714111,47.0198569750883,2.35594382858886,2.98014302491168
1350,30,50,27.6444992613992,47.0218999197669,2.35550073860076,2.97810008023314
1368,30,50,27.6449151271467,47.0238869650299,2.35508487285328,2.97611303497015
1386,30,50,27.6453055604902,47.025819477962,2.35469443950982,2.97418052203795
1404,30,50,27.6456722186815,47.0276987898769,2.35432778131852,2.97230121012308
1422,30,50,27.6460166365816,47.0295261993727,2.35398336341836,2.97047380062727
1440,30,50,27.6463402375249,47.0313029748154,2.35365976247505,2.96869702518465
1458,30,50,27.6466443430197,47.0330303563501,2.35335565698028,2.96696964364985
1476,30,50,27.6469301814284,47.0347095575297,2.35306981857159,2.96529044247028
1494,30,50,27.6471988957505,47.0363417666309,2.35280110424952,2.96365823336906
1512,30,50,27.647451550615,47.0379281477218,2.35254844938496,2.96207185227823
1530,30,50,27.6476891385763,47.0394698415273,2.35231086142367,2.96053015847268
1548,30,50,27.6479125857934,47.0409679661358,2.35208741420664,2.95903203386416
1566,30,50,27.6481227571645,47.042423617577,2.35187724283551,2.95757638242302
1584,30,50,27.6483204609791,47.043837870299,2.35167953902089,2.95616212970104
1602,30,50,27.6485064531408,47.045211777566,2.35149354685921,2.95478822243399
1620,30,50,27.6486814410092,47.0465463717935,2.35131855899078,2.95345362820652
1638,30,50,27.6488460869028,47.0478426648348,2.35115391309724,2.9521573351652
1656,30,50,27.6490010112981,47.0491016482318,2.35099898870187,2.9508983517682
1674,30,50,27.649146795759,47.050324293438,2.35085320424103,2.94967570656196
1692,30,50,27.6492839856217,47.0515115520227,2.35071601437834,2.94848844797727
1710,30,50,27.6494130924629,47.0526643558617,2.35058690753712,2.94733564413834
1728,30,50,27.6495345963707,47.0537836173202,2.35046540362934,2.94621638267975
1746,30,50,27.6496489480381,47.0548702294329,2.35035105196192,2.94512977056713
1764,30,50,27.6497565706966,47.0559250660817,2.35024342930344,2.94407493391826
1782,30,50,27.6498578619035,47.0569489821778,2.35014213809646,2.94305101782217
1800,30,50,27.6499531951981,47.0579428138459,2.35004680480194,2.94205718615414
1818,30,50,27.6500429216358,47.0589073786148,2.34995707836417,2.94109262138518
1836,30,50,27.6501273712145,47.0598434756148,2.34987262878552,2.9401565243852
1854,30,50,27.6502068541982,47.0607518857811,2.34979314580183,2.93924811421891
1872,30,50,27.6502816623503,47.0616333720657,2.34971833764971,2.93836662793432
1890,30,50,27.6503520700815,47.0624886796562,2.34964792991855,2.93751132034376
1908,30,50,27.6504183355199,47.0633185362028,2.34958166448009,2.93668146379724
1926,30,50,27.6504807015102,47.0641236520513,2.3495192984898,2.93587634794871
1944,30,50,27.650539396546,47.0649047204847,2.34946060345404,2.93509527951534
1962,30,50,27.6505946356414,47.0656624179697,2.34940536435857,2.93433758203034
1980,30,50,27.6506466211467,47.0663974044103,2.34935337885327,2.93360259558973
1998,30,50,27.6506955435107,47.0671103234062,2.34930445648934,2.93288967659377
2016,30,50,27.650741581995,47.0678018025165,2.34925841800501,2.93219819748347
2034,30,50,27.6507849053436,47.0684724535273,2.34921509465636,2.93152754647273
2052,30,50,27.65082567241,47.0691228727231,2.34917432759005,2.93087712727689
2070,30,50,27.6508640327449,47.069753641162,2.34913596725508,2.93024635883802
2088,30,50,27.650900127149,47.0703653249522,2.349099872851,2.92963467504775
2106,30,50,27.65093408819,47.070958475532,2.34906591180996,2.92904152446801
2124,30,50,27.6509660406895,47.0715336299497,2.34903395931047,2.92846637005033
2142,30,50,27.6509961021792,47.0720913111458,2.34900389782078,2.92790868885417
2160,30,50,27.6510243833302,47.0726320282352,2.34897561666979,2.92736797176476
2178,30,50,27.6510509883559,47.073156276789,2.34894901164405,2.92684372321095
2196,30,50,27.6510760153913,47.0736645391166,2.34892398460875,2.92633546088344
2214,30,50,27.6510995568485,47.0741572845461,2.34890044315154,2.92584271545388
2232,30,50,27.6511216997524,47.0746349697049,2.3488783002476,2.92536503029508
2250,30,50,27.6511425260555,47.075098038797,2.34885747394455,2.92490196120297
2268,30,50,27.6511621129338,47.0755469238798,2.34883788706616,2.92445307612024
2286,30,50,27.6511805330665,47.0759820451377,2.34881946693354,2.92401795486231
2304,30,50,27.6511978548972,47.0764038111543,2.34880214510283,2.92359618884569
2322,30,50,27.6512141428817,47.0768126191809,2.3487858571183,2.92318738081907
2340,30,50,27.6512294577199,47.0772088554025,2.34877054228007,2.92279114459746
2358,30,50,27.6512438565746,47.0775928952007,2.34875614342536,2.92240710479931
2376,30,50,27.6512573932773,47.0779651034129,2.34874260672266,2.92203489658713
2394,30,50,27.6512701185221,47.0783258345885,2.34872988147792,2.92167416541152
2412,30,50,27.6512820800479,47.0786754332411,2.34871791995205,2.92132456675891
2430,30,50,27.6512933228108,47.0790142340969,2.34870667718916,2.92098576590312
2448,30,50,27.6513038891453,47.0793425623393,2.34869611085472,2.92065743766067
2466,30,50,27.6513138189167,47.0796607338497,2.34868618108326,2.92033926615031
2484,30,50,27.6513231496652,47.0799690554436,2.34867685033485,2.92003094455644
2502,30,50,27.65133191674,47.0802678251032,2.34866808326003,2.91973217489679
2520,30,50,27.6513401534275,47.0805573322057,2.34865984657253,2.91944266779429
2538,30,50,27.6513478910706,47.0808378577469,2.34865210892942,2.91916214225311
2556,30,50,27.6513551591818,47.0811096745608,2.34864484081821,2.91889032543919
2574,30,50,27.6513619855495,47.0813730475352,2.34863801445051,2.91862695246478
2592,30,50,27.6513683963381,47.0816282338224,2.34863160366191,2.91837176617759
2610,30,50,27.6513744161824,47.0818754830459,2.3486255838176,2.91812451695411
2628,30,50,27.6513800682765,47.0821150375027,2.3486199317235,2.91788496249727
2646,30,50,27.6513853744574,47.0823471323615,2.34861462554257,2.91765286763846
2664,30,50,27.6513903552841,47.0825719958562,2.34860964471594,2.91742800414382
2682,30,50,27.6513950301114,47.0827898494752,2.34860496988859,2.9172101505248
2700,30,50,27.6513994171605,47.083000908147,2.34860058283946,2.91699909185299
2718,30,50,27.6514035335846,47.0832053804209,2.34859646641541,2.91679461957914
2736,30,50,27.6514073955308,47.0834034686436,2.34859260446923,2.91659653135637
2754,30,50,27.6514110181989,47.0835953691325,2.34858898180106,2.91640463086746
2772,30,50,27.6514144158967,47.0837812723436,2.34858558410331,2.91621872765635
2790,30,50,27.6514176020912,47.0839613630365,2.34858239790876,2.91603863696353
2808,30,50,27.6514205894584,47.0841358204345,2.3485794105416,2.91586417956547
2826,30,50,27.6514233899286,47.084304818382,2.34857661007141,2.91569518161803
2844,30,50,27.6514260147303,47.0844685254963,2.34857398526973,2.91553147450366
2862,30,50,27.6514284744308,47.0846271053175,2.34857152556918,2.91537289468246
2880,30,50,27.6514307789751,47.0847807164531,2.34856922102494,2.91521928354694
2898,30,50,27.6514329377215,47.0849295127194,2.34856706227846,2.91507048728055
2916,30,50,27.6514349594767,47.0850736432803,2.34856504052327,2.91492635671974
2934,30,50,27.6514368525272,47.0852132527804,2.34856314747283,2.91478674721964
2952,30,50,27.6514386246699,47.0853484814768,2.34856137533012,2.91465151852318
2970,30,50,27.6514402832409,47.0854794653663,2.34855971675915,2.91452053463372
2988,30,50,27.651441835142,47.0856063363091,2.34855816485796,2.91439366369092
3006,30,50,27.6514432868667,47.08572922215,2.34855671313335,2.91427077785004
3024,30,50,27.6514446445231,47.0858482468357,2.34855535547693,2.9141517531643
3042,30,50,27.6514459138574,47.0859635305294,2.34855408614264,2.91403646947058
3060,30,50,27.6514471002744,47.086075189722,2.34855289972559,2.91392481027805
3078,30,50,27.6514482088579,47.0861833373401,2.34855179114207,2.91381666265992
3096,30,50,27.6514492443893,47.0862880828519,2.34855075561075,2.91371191714811
3114,30,50,27.651450211365,47.0863895323692,2.34854978863497,2.91361046763082
3132,30,50,27.6514511140139,47.0864877887471,2.34854888598606,2.91351221125292
3150,30,50,27.6514519563123,47.0865829516809,2.34854804368765,2.91341704831912
3168,30,50,27.6514527419992,47.0866751178002,2.34854725800085,2.91332488219977
3186,30,50,27.6514534745897,47.0867643807606,2.34854652541028,2.9132356192394
3204,30,50,27.651454157389,47.0868508313323,2.34854584261104,2.91314916866772
3222,30,50,27.6514547935038,47.0869345574868,2.34854520649623,2.91306544251321
3240,30,50,27.6514553858546,47.0870156444809,2.34854461414537,2.91298435551908
3258,30,50,27.6514559371865,47.0870941749383,2.34854406281346,2.91290582506171
3276,30,50,27.6514564500794,47.0871702289287,2.34854354992057,2.91282977107132
3294,30,50,27.6514569269578,47.0872438840451,2.34854307304219,2.91275611595495
3312,30,50,27.6514573701,47.0873152154783,2.34854262990002,2.91268478452167
3330,30,50,27.6514577816466,47.0873842960901,2.34854221835337,2.91261570390988
3348,30,50,27.651458163609,47.0874511964832,2.34854183639105,2.91254880351682
3366,30,50,27.6514585178763,47.08751598507,2.34854148212367,2.91248401492997
3384,30,50,27.6514588462235,47.0875787281394,2.34854115377649,2.9124212718606
3402,30,50,27.6514591503174,47.0876394899209,2.34854084968263,2.91236051007909
3420,30,50,27.6514594317234,47.0876983326477,2.34854056827664,2.9123016673523
3438,30,50,27.6514596919115,47.0877553166173,2.34854030808854,2.91224468338267
3456,30,50,27.6514599322619,47.0878105002509,2.34854006773813,2.91218949974913
3474,30,50,27.6514601540703,47.0878639401502,2.34853984592966,2.91213605984976
3492,30,50,27.6514603585531,47.0879156911538,2.34853964144685,2.91208430884615
3510,30,50,27.6514605468519,47.0879658063906,2.3485394531481,2.91203419360937
3528,30,50,27.6514607200379,47.0880143373325,2.34853927996208,2.91198566266755
3546,30,50,27.6514608791164,47.0880613338449,2.34853912088355,2.91193866615505
3564,30,50,27.6514610250306,47.0881068442369,2.3485389749694,2.9118931557631
3582,30,50,27.6514611586651,47.0881509153081,2.34853884133495,2.91184908469194
3600,30,50,27.6514612808496,47.0881935923957,2.34853871915044,2.91180640760434
3618,36,50,27.6514613923622,47.0882349194194,8.34853860763776,2.91176508058061
3636,36,50,27.6514614939326,47.0882749389252,8.34853850606737,2.91172506107482
3654,36,50,27.6514615862447,47.0883136921275,8.34853841375532,2.91168630787246
3672,36,50,27.6514616699394,47.0883512189507,8.34853833006061,2.91164878104931
3690,36,50,28.1452971184877,47.0883875580685,7.8547028815123,2.91161244193152
3708,36,50,28.6522663950569,47.088422746943,7.34773360494308,2.911577253057
3726,36,50,29.1433685720921,46.356270990027,6.85663142790791,3.64372900997296
3744,36,50,29.6191002574226,45.6230741313875,6.38089974257736,4.37692586861245
3762,36,50,30.0392969534763,45.0684302124734,5.96070304652374,4.93156978752656
3780,36,50,30.3998021565304,44.6729133901084,5.6001978434696,5.32708660989162
3798,36,50,30.6919067187177,44.4456910003241,5.30809328128235,5.55430899967595
3816,36,50,30.9201497349965,44.3470148606299,5.07985026500354,5.65298513937007
3834,36,50,31.0950349933793,44.3333187005621,4.90496500662068,5.6666812994379
3852,36,50,31.226843852188,44.373264866795,4.77315614781202,5.62673513320505
3870,36,50,31.3261643702616,44.4422673771194,4.67383562973839,5.55773262288059
3888,36,50,31.4020126694089,44.5231987219883,4.59798733059112,5.47680127801171
3906,36,50,31.4613411017217,44.6039019466551,4.53865889827829,5.39609805334488
3924,36,50,31.5093466386822,44.6767312758756,4.49065336131785,5.32326872412442
3942,36,50,31.5496594041188,44.7379530057864,4.45034059588116,5.26204699421357
3960,36,50,31.5846745438953,44.7865464862035,4.41532545610465,5.21345351379652
3978,36,50,31.6158754567052,44.8232784970429,4.38412454329475,5.17672150295707
3996,36,50,31.6441104551315,44.8498869978152,4.35588954486854,5.15011300218475
4014,36,50,31.6698266507301,44.868448047773,4.33017334926989,5.13155195222703
4032,36,50,31.6932430222339,44.8809870012064,4.30675697776606,5.11901299879361
4050,36,50,31.7144703378548,44.8892642601531,4.28552966214519,5.11073573984685
4068,36,50,31.7335865701954,44.8946875416256,4.26641342980458,5.10531245837444
4086,36,50,31.7506773193427,44.8983057320942,4.24932268065734,5.10169426790583
4104,36,50,31.7658525229223,44.9008479812892,4.23414747707768,5.09915201871081
4122,36,50,31.779248359742,44.9027842136765,4.22075164025796,5.09721578632352
4140,36,50,31.7910211711636,44.9043903188177,4.20897882883643,5.09560968118231
4158,36,50,31.8013382488843,44.9058080250463,4.19866175111574,5.09419197495374
4176,36,50,31.8103684903873,44.9070944366755,4.1896315096127,5.09290556332451
4194,36,50,31.8182745736639,44.9082595267464,4.18172542633614,5.0917404732536
4212,36,50,31.8252073323347,44.9092921673367,4.17479266766527,5.09070783266331
4230,36,50,31.8313023818202,44.9101764951225,4.16869761817983,5.08982350487751
4248,36,50,31.8366786957998,44.9109008570102,4.1633213042002,5.08909914298983
4266,36,50,31.8414386756265,44.9114615488338,4.15856132437345,5.0885384511662
4284,36,50,31.8456692315017,44.9118632497918,4.15433076849832,5.08813675020816
4302,36,50,31.8494434477033,44.9121176353927,4.15055655229673,5.08788236460731
4320,36,50,31.8528224932413,44.9122412257517,4.14717750675874,5.08775877424831
4338,36,50,31.8558575366714,44.9122531513815,4.14414246332861,5.08774684861849
4356,36,50,31.858591512606,44.9121732213502,4.14140848739403,5.08782677864982
4374,36,50,31.861060659513,44.9120204628502,4.13893934048697,5.08797953714979
4392,36,50,31.8632958013623,44.9118121589165,4.13670419863775,5.08818784108347
4410,36,50,31.8653233807403,44.9115633284448,4.13467661925967,5.08843667155519
4428,36,50,31.8671662712583,44.9112865542693,4.13283372874168,5.08871344573071
4446,36,50,31.8688444060795,44.9109920564346,4.1311555939205,5.08900794356536
4464,36,50,31.870375260752,44.9106879169552,4.12962473924801,5.08931208304477
4482,36,50,31.8717742252507,44.9103803802431,4.12822577474933,5.08961961975693
4500,36,50,31.8730548945376,44.910074173787,4.12694510546238,5.08992582621303
4518,36,50,31.8742293006652,44.9097728127643,4.12577069933477,5.09022718723567
4536,36,50,31.8753081034927,44.9094788680939,4.12469189650731,5.09052113190607
4554,36,50,31.8763007520108,44.9091941893188,4.12369924798918,5.09080581068118
4572,36,50,31.8772156242761,44.908920081781,4.12278437572386,5.09107991821902
4590,36,50,31.87806015103,44.9086574423924,4.12193984896995,5.09134255760764
4608,36,50,31.8788409260822,44.9084068606703,4.12115907391779,5.09159313932967
4626,36,50,31.8795638052797,44.9081686923378,4.12043619472032,5.09183130766217
4644,36,50,31.8802339951668,44.9079431123392,4.11976600483322,5.09205688766076
4662,36,50,31.8808561320895,44.9077301531032,4.11914386791054,5.09226984689679
4680,36,50,31.8814343523706,44.9075297326564,4.11856564762936,5.09247026734363
4698,36,50,31.8819723541742,44.9073416759923,4.11802764582583,5.09265832400774
4716,36,50,31.8824734517138,44.9071657320582,4.11752654828618,5.09283426794177
4734,36,50,31.8829406225071,44.9070015878947,4.11705937749292,5.0929984121053
4752,36,50,31.8833765483982,44.9068488808509,4.11662345160179,5.0931511191491
4770,36,50,31.8837836510739,44.9067072093847,4.11621634892611,5.09329279061534
4788,36,50,31.8841641227674,44.9065761426936,4.11583587723262,5.09342385730645
4806,36,50,31.8845199527998,44.9064552292806,4.11548004720021,5.09354477071938
4824,36,50,31.884852950546,44.9063440044923,4.11514704945397,5.09365599550773
4842,36,50,31.8851647653452,44.9062419970492,4.11483523465476,5.09375800295077
4860,36,50,31.8854569038069,44.9061487346006,4.11454309619311,5.09385126539939
4878,36,50,31.8857307448984,44.9060637483503,4.11426925510158,5.09393625164967
4896,36,50,31.8859875531407,44.905986576825,4.11401244685926,5.09401342317505
4914,36,50,31.8862284901855,44.9059167688673,4.11377150981452,5.09408323113266
4932,36,50,31.8864546250034,44.9058538859494,4.11354537499658,5.09414611405056
4950,36,50,31.8866669428761,44.9057975038994,4.11333305712395,5.09420249610059
4968,36,50,31.8868663533512,44.9057472141354,4.11313364664877,5.09425278586456
4986,36,50,31.887053697299,44.9057026244917,4.11294630270104,5.09429737550828
5004,36,50,31.8872297531825,44.9056633597123,4.11277024681753,5.09433664028769
5022,36,50,31.8873952426433,44.9056290616787,4.11260475735674,5.09437093832125
5040,36,50,31.8875508354846,44.9055993894269,4.11244916451536,5.09440061057311
5058,36,50,31.8876971541273,44.9055740189987,4.11230284587275,5.09442598100128
5076,36,50,31.8878347776,44.9055526431666,4.11216522239997,5.09444735683338
5094,36,50,31.8879642451221,44.9055349710601,4.11203575487793,5.09446502893988
5112,36,50,31.888086059324,44.9055207277193,4.11191394067604,5.09447927228067
5130,36,50,31.8882006891507,44.9055096535942,4.11179931084934,5.09449034640577
5148,36,50,31.8883085724832,44.9055015040053,4.1116914275168,5.09449849599474
