Tempo,Referencia_Temperatura,Referencia_Umidade,Saida_Temperatura,Saida_Umidade,Erro_Temperatura,Erro_Umidade
18,30,50,22,50,8,0
36,30,50,22,50,8,0
54,30,50,22,50,8,0
72,30,50,22,50,8,0
90,30,50,22,50,8,0
108,30,50,22,50,8,0
126,30,50,22,50,8,0
144,30,50,22.7441187378776,48.8826504025028,7.25588126212238,1.11734959749719
162,30,50,23.4652198212798,47.8289629276959,6.53478017872017,2.17103707230405
180,30,50,24.1640152500402,47.0486635713734,5.83598474995977,2.95133642862659
198,30,50,24.8371969947264,46.4979822090731,5.16280300527363,3.50201779092691
216,30,50,25.4012355913659,46.0980854610568,4.59876440863409,3.90191453894317
234,30,50,25.8607094453467,45.7882441904592,4.13929055465329,4.21175580954085
252,30,50,26.2272171033234,45.6285961353914,3.77278289667661,4.37140386460855
270,30,50,26.5109793844474,45.5944280836092,3.48902061555264,4.40557191639078
288,30,50,26.7274749603576,45.6466337782056,3.27252503964242,4.35336622179442
306,30,50,26.8907605840234,45.7547938644026,3.10923941597662,4.2452061355974
324,30,50,27.0142731306388,45.8882391556875,2.98572686936124,4.11176084431248
342,30,50,27.1093878138958,46.0247068608111,2.89061218610425,3.97529313918891
360,30,50,27.1848400925221,46.1509860104029,2.81515990747789,3.8490139895971
378,30,50,27.2470916066505,46.2601926511598,2.75290839334945,3.73980734884024
396,30,50,27.3005166328089,46.3500563262198,2.69948336719115,3.64994367378019
414,30,50,27.3478541192585,46.4211534840227,2.65214588074147,3.57884651597735
432,30,50,27.3906965645465,46.475728930682,2.60930343545353,3.52427106931804
450,30,50,27.429873221044,46.516807943908,2.57012677895603,3.48319205609199
468,30,50,27.4657617770932,46.5475348123351,2.53423822290678,3.45246518766491
486,30,50,27.4985112712257,46.5707799736406,2.50148872877434,3.42922002635937
504,30,50,27.5281871976957,46.5889262699857,2.47181280230435,3.41107373001433
522,30,50,27.5548572069125,46.6037967291543,2.44514279308749,3.39620327084572
540,30,50,27.578631697739,46.6166835265809,2.42136830226104,3.38331647341914
558,30,50,27.599674662533,46.6284297553382,2.40032533746701,3.37157024466181
576,30,50,27.6181968736085,46.6395317303269,2.38180312639153,3.36046826967311
594,30,50,27.6344404988193,46.6502400346205,2.36555950118066,3.3497599653795
612,30,50,27.6486616149805,46.6606468234398,2.35133838501947,3.33935317656017
630,30,50,27.661114438542,46.6707543543902,2.33888556145804,3.32924564560981
648,30,50,27.6720391656194,46.680524159192,2.32796083438056,3.31947584080804
666,30,50,27.6816539676209,46.6899089968907,2.31834603237907,3.31009100310933
684,30,50,27.6901508341678,46.6988709928219,2.3098491658322,3.30112900717813
702,30,50,27.6976945260609,46.7073896530833,2.30230547393914,3.29261034691672
720,30,50,27.7044237569141,46.7154631737742,2.29557624308591,3.28453682622582
738,30,50,27.7104537606998,46.7231058665231,2.28954623930023,3.27689413347689
756,30,50,27.7158795413837,46.7303438128127,2.28412045861627,3.26965618718725
774,30,50,27.7207792775154,46.7372101789173,2.27922072248458,3.26278982108273
792,30,50,27.7252175300573,46.7437410447542,2.27478246994266,3.25625895524579
810,30,50,27.7292480529022,46.7499721571384,2.27075194709778,3.25002784286159
828,30,50,27.7329161223527,46.7559367111215,2.26708387764733,3.24406328887854
846,30,50,27.7362603831649,46.7616640744275,2.26373961683505,3.23833592557246
864,30,50,27.739314258522,46.7671792738484,2.26068574147799,3.23282072615164
882,30,50,27.7421069959769,46.7725030319082,2.25789300402311,3.22749696809177
900,30,50,27.7446644280697,46.7776521531936,2.25533557193029,3.22234784680642
918,30,50,27.7470095214436,46.782640093261,2.25299047855637,3.21735990673903
936,30,50,27.7491627771497,46.787477585008,2.25083722285027,3.21252241499202
954,30,50,27.751142531339,46.7921732386597,2.24885746866098,3.20782676134025
972,30,50,27.7529651922782,46.7967340669061,2.24703480772185,3.20326593309385
990,30,50,27.7546454380842,46.8011659140068,2.24535456191582,3.19883408599321
1008,30,50,27.7561963904094,46.8054737866508,2.24380360959064,3.19452621334922
1026,30,50,27.7576297726089,46.8096620959881,2.24237022739108,3.19033790401191
1044,30,50,27.7589560564372,46.813734826067,2.24104394356284,3.18626517393297
1062,30,50,27.7601845986179,46.817695645565,2.23981540138213,3.18230435443497
1080,30,50,27.7613237672588,46.8215479786902,2.2386762327412,3.17845202130984
1098,30,50,27.7623810575939,46.8252950486781,2.23761894240608,3.17470495132189
