Tempo,Referencia_Temperatura,Saida_Temperatura,Sinal_Controle_Temperatura,Erro_Temperatura
0,30,22,0,8
18,30,22,0,8
36,30,22,0,8
54,30,22,0,8
72,30,22,0,8
90,30,21.2916,2.82710936716559,8.7084
108,30,20.60601048,5.67387170850765,9.39398952
126,30,19.942496942544,8.56601434607297,10.057503057456
144,30,19.3003485409941,11.5229322361684,10.6996514590059
162,30,18.92754985791,13.8834774049275,11.07245014209
180,30,18.8315464946445,15.4236468888534,11.1684535053555
198,30,19.0075173263938,16.1604237464317,10.9924826736062
216,30,19.4526334009988,16.4308469945938,10.5473665990012
234,30,20.1061010031061,16.4466638573256,9.89389899689386
252,30,20.8860154311408,16.2791596828155,9.11398456885925
270,30,21.7134629696584,16.0217532571978,8.28653703034159
288,30,22.5418033205492,15.7175016471501,7.45819667945078
306,30,23.3462388177204,15.3860141543106,6.65376118227962
324,30,24.110118332524,15.0406574697644,5.88988166747598
342,30,24.8259068615054,14.6898959480396,5.1740931384946
360,30,25.4905748295274,14.3386024778406,4.50942517047262
378,30,26.1031342084138,13.9914756250596,3.89686579158624
396,30,26.6639043299888,13.6482180988649,3.33609567001125
414,30,27.1740068046738,13.3112381150801,2.82599319532622
432,30,27.6349988298897,12.9830762006752,2.36500117011034
450,30,28.0488255501597,12.6664691682105,1.95117444984034
468,30,28.4173672423522,12.3635951044585,1.58263275764777
486,30,28.7426539518742,12.0761677890986,1.25734604812585
504,30,29.026886079241,11.806152194962,0.973113920759044
522,30,29.2724468333866,11.5554736598261,0.727553166613372
540,30,29.4818481988059,11.3285166210927,0.518151801194062
558,30,29.6576831046152,11.1247682497902,0.342316895384808
576,30,29.802642549762,10.9460727956002,0.197357450238048
594,30,29.9195102374503,10.7922395955834,0.0804897625497212
612,30,30.0113756907242,10.6584759453875,-0.0113756907242077
630,30,30.0812061583358,10.5264370375473,-0.0812061583357995
648,30,30.1320329535298,10.3976694156464,-0.132032953529812
666,30,30.1667823977833,10.2754735204975,-0.166782397783269
684,30,30.1878640482725,10.1751435928187,-0.187864048272452
702,30,30.1959718703028,10.1080226242737,-0.19597187030276
720,30,30.1918201424004,10.0663045410145,-0.191820142400385
738,30,30.1763983220037,10.0350172647897,-0.176398322003688
