Tempo,Referencia_Umidade,Saida_Umidade,Controle_Umidade,Erro_Umidade
0,55,50,0,5
18,55,50,0,5
36,55,50,0.642,5
54,55,50.1569243712482,1.18199523557939,4.8430756287518
72,55,51.6212569331095,0.883476324768889,3.37874306689049
90,55,53.8675685092211,0.150929972519119,1.1324314907789
108,55,55.1555124345462,0,-0.155512434546168
126,55,54.918141268963,0.392723145330814,0.081858731037002
144,55,54.5205509088207,0.614054890152332,0.479449091179291
162,55,54.9456207901205,0.319543537864319,0.0543792098795137
180,55,55.666701747625,0,-0.66670174762497
198,55,55.6908730505774,0.0433504115026595,-0.690873050577366
216,55,55.1303341060586,0.323856006874181,-0.130334106058569
234,55,54.7750471646284,0.425608376015293,0.224952835371553
252,55,55.0007377884811,0.236508329682745,-0.000737788481124824
270,55,55.3463475084318,0.0570378208412895,-0.346347508431776
288,55,55.262547897972,0.136376592612852,-0.26254789797202
306,55,54.8735619153976,0.338703758987674,0.12643808460237
324,55,54.7202744643451,0.376538771667023,0.279725535654855
342,55,54.9670164565336,0.221313772105383,0.0329835434663721
360,55,55.2212527635437,0.109791515805078,-0.221252763543667
378,55,55.1347102944361,0.188643588541632,-0.134710294436061
396,55,54.8692088437137,0.326566784377136,0.130791156286307
414,55,54.8103677223291,0.328342340221145,0.189632277670903
432,55,55.0137683687398,0.208670619513217,-0.0137683687397541
450,55,55.1707987057306,0.145636370850665,-0.170798705730647
468,55,55.0746232874808,0.21772645464152,-0.074623287480776
486,55,54.888767386313,0.309660613399174,0.111232613686973
504,55,54.8777912935376,0.29379027553116,0.122208706462416
522,55,55.0346120599829,0.205342376119236,-0.0346120599829121
540,55,55.1246291564124,0.173846990778958,-0.124629156412382
558,55,55.0338076246338,0.23494055326116,-0.0338076246337735
576,55,54.9085975675046,0.293768251830487,0.0914024324953928
594,55,54.9236857549974,0.270576357376381,0.0763142450026422
612,55,55.0407397085291,0.207314177906004,-0.0407397085290668
630,55,55.0875527360825,0.195137510522783,-0.0875527360824506
648,55,55.0093147179225,0.24414427061712,-0.00931471792249283
666,55,54.9283148311853,0.279903709818867,0.0716851688146889
684,55,54.9551118433511,0.25543875538497,0.0448881566489163
702,55,55.0395875386905,0.211667231401442,-0.0395875386905047
720,55,55.0594939336888,0.210592473402295,-0.0594939336887848
738,55,54.9959262051684,0.248267785544666,0.00407379483162629
756,55,54.9459530141849,0.268521408735703,0.0540469858151482
774,55,54.9758484429232,0.24600239420763,0.0241515570767632
792,55,55.0348177784512,0.216769682200366,-0.0348177784511918
810,55,55.0389418505422,0.221449052426547,-0.038941850542237
828,55,54.989557483914,0.249377383697692,0.0104425160859734
846,55,54.9606379561678,0.259608880231596,0.0393620438322131
864,55,54.9889398595024,0.24046404169048,0.0110601404975981
882,55,55.0287053088934,0.221713696846476,-0.0287053088934286
900,55,55.0243754447284,0.228820398422476,-0.0243754447284488
918,55,54.9874278589859,0.248838766743561,0.0125721410141253
936,55,54.97226718951,0.252895234436231,0.0277328104900079
954,55,54.9967616160988,0.237492528346163,0.00323838390120557
972,55,55.0225592588733,0.226053418428948,-0.022559258873315
990,55,55.0143936303312,0.233640324364365,-0.0143936303311634
1008,55,54.987677867367,0.247519866824375,0.0123221326330309
1026,55,54.9811126108142,0.24800975960051,0.0188873891858492
1044,55,55.0010780685051,0.236139699140499,-0.00107806850510883
1062,55,55.0170473377237,0.229626420869847,-0.0170473377237457
1080,55,55.007798198226,0.23665354924514,-0.00779819822598427
1098,55,54.9891102189414,0.245944305715629,0.0108897810585731
1116,55,54.9876068293901,0.244570518552676,0.012393170609883
1134,55,55.0031565793673,0.235752457901354,-0.00315657936727121
1152,55,55.0124414335323,0.232431434371115,-0.012441433532338
1170,55,55.0036216858597,0.238429784653323,-0.00362168585972
1188,55,54.9909914444412,0.244405270990199,0.00900855555881463
1206,55,54.9922186928008,0.242230285224414,0.00778130719922387
1224,55,55.0038780499109,0.235896748165414,-0.00387804991092366
1242,55,55.008783701082,0.234549169174608,-0.00878370108198112
1260,55,55.0011163977269,0.239389477085255,-0.00111639772691063
1278,55,54.9929014065595,0.243047828515102,0.0070985934404959
1296,55,54.9953857829455,0.240696248549604,0.0046142170545167
1314,55,55.0038337294186,0.236295765625648,-0.00383372941860927
1332,55,55.0059951113659,0.23609343172915,-0.00599511136594799
1350,55,54.9997254716454,0.239832709242275,0.000274528354566428
1368,55,54.9946236353813,0.241926433331683,0.00537636461872637
1386,55,54.997483438243,0.239734259293031,0.00251656175699111
1404,55,55.0034050899933,0.236781912092813,-0.00340508999325095
1422,55,55.0039434457758,0.2371827852025,-0.00394344577583183
1440,55,54.999047977479,0.239966631173401,0.000952022520984031
1458,55,54.9960680537577,0.241043742454975,0.00393194624226822
1476,55,54.998815617006,0.23916477235547,0.00118438299404033
1494,55,55.0028266282658,0.237260819414389,-0.00282662826582225
1512,55,55.0024834727482,0.23792564914444,-0.0024834727481533
1530,55,54.9988046696008,0.239929239683702,0.00119533039919872
1548,55,54.9972183331978,0.240375818545892,0.00278166680221403
1566,55,54.9996178175093,0.238855001032819,0.000382182490653804
1584,55,55.0022333375222,0.237685316408266,-0.00223333752220611
1602,55,55.0014787353458,0.238413804852714,-0.00147873534579901
1620,55,54.9988076986794,0.239808783781739,0.0011923013205859
1638,55,54.9980973385234,0.239887750400539,0.00190266147662754
1656,55,55.0000658135755,0.238709978132057,-6.58135755244871e-05
1674,55,55.0016953638819,0.238037204538415,-0.00169536388187197
1692,55,55.0008116895762,0.238720858736726,-0.000811689576217134
1710,55,54.9989355435336,0.239658892468949,0.0010644564664446
1728,55,54.9987454221794,0.239542750512655,0.00125457782058191
1746,55,55.0002864190621,0.238664008709474,-0.000286419062106802
1764,55,55.0012424808554,0.238314930934325,-0.00124248085536749
1782,55,55.0003868510203,0.238903387073312,-0.000386851020294898
1800,55,54.9991132503183,0.239509926962943,0.000886749681676235
1818,55,54.9992075454198,0.239306975307919,0.000792454580228252
1836,55,55.0003681426732,0.238673227201086,-0.000368142673202954
1854,55,55.0008807990314,0.238525563056575,-0.000880799031406809
1872,55,55.0001300564129,0.239003321613412,-0.000130056412885438
1890,55,54.9992974611355,0.239377212377317,0.000702538864466362
1908,55,54.9995262477682,0.239151661909128,0.000473752231847868
1926,55,55.0003706583406,0.23870950403152,-0.000370658340585805
1944,55,55.0006037611523,0.238679798716477,-0.000603761152333959
1962,55,54.9999858298826,0.239050712809721,1.41701173816955e-05
1980,55,54.9994654616125,0.239266812176593,0.000534538387505279
1998,55,54.9997383321213,0.239053675368885,0.000261667878724836
2016,55,55.0003326706844,0.23875568324586,-0.00033267068437226
2034,55,55.0003990694651,0.238789046636763,-0.000399069465103707
2052,55,54.9999140653846,0.239066392150238,8.593461537032e-05
2070,55,54.9996074303176,0.239179442670637,0.000392569682375665
2088,55,54.9998737885232,0.238995190464983,0.000126211476839444
2106,55,55.0002781319651,0.238802000787764,-0.00027813196507509
2124,55,55.0002528128627,0.238863868095996,-0.000252812862711949
2142,55,54.9998867132119,0.239064301205017,0.000113286788078426
2160,55,54.9997211357325,0.239113027987209,0.00027886426747159
2178,55,54.9999559691711,0.238962967571453,4.40308289171298e-05
2196,55,55.0002209630189,0.238843481962584,-0.000220963018875864
2214,55,55.0001517343401,0.2389132750736,-0.000151734340093412
2232,55,54.9998848195921,0.239053404639689,0.000115180407860294
2250,55,54.9998084383325,0.239064293761038,0.000191561667485018
2268,55,55.0000023804953,0.23894749903456,-2.38049531020579e-06
2286,55,55.0001685141209,0.238878112015403,-0.000168514120893803
2304,55,55.0000843135465,0.238944537839296,-8.431354648053e-05
2322,55,54.9998960592575,0.239039189233884,0.000103940742505415
2340,55,54.999873080195,0.239029703673586,0.000126919804991132
2358,55,55.0000257047973,0.238942180195058,-2.57047972596069e-05
2376,55,55.0001240191188,0.238905593243029,-0.000124019118842966
2394,55,55.000041132739,0.238963271718004,-4.11327389855387e-05
2412,55,54.9999127798268,0.239024793796093,8.72201731851874e-05
2430,55,54.9999193628162,0.239005962955678,8.06371838422137e-05
2448,55,55.000034830274,0.238942580748053,-3.48302739752171e-05
2466,55,55.0000882781806,0.238926531724106,-8.82781805842114e-05
2484,55,55.000014839944,0.238973656481694,-1.48399440362823e-05
