Tempo,Referencia_Temperatura,Saida_Temperatura,Controle_Temperatura,Erro_Temperatura
0,30,22,0,8
18,30,22,0,8
36,30,22,0,8
54,30,22,0,8
72,30,22,0,8
90,30,22,3.60073846153845,8
108,30,22,7.2014769230769,8
126,30,22,10.8022153846153,8
144,30,22,14.4029538461538,8
162,30,22.2580824103806,15.9055359130293,7.74191758961939
180,30,22.8922987335569,15.4610160685234,7.10770126644307
198,30,23.8898602745028,13.5652974139058,6.11013972549725
216,30,25.2384131586505,10.0944767610271,4.76158684134949
234,30,26.7756384905789,6.15146295855276,3.22436150942105
252,30,28.28166112797,2.66719496901133,1.71833887203004
270,30,29.5849460406768,0.00495263968573845,0.415053959323185
288,30,30.528376574333,0,-0.528376574333038
306,30,31.0348647738363,0.129701000124643,-1.03486477383627
324,30,31.1355156401406,1.25354123653434,-1.13551564014056
342,30,30.9192044633746,2.97952360607998,-0.91920446337457
360,30,30.61612258812,4.00142448050086,-0.616122588120021
378,30,30.3324674680185,4.58928811328392,-0.332467468018486
396,30,30.1435761876373,4.62676913512902,-0.143576187637329
414,30,30.1244010924804,3.82002810255194,-0.124401092480369
432,30,30.2399156779723,2.7337662193134,-0.239915677972341
450,30,30.4296314959296,1.63259971157445,-0.429631495929566
468,30,30.6362892787317,0.661068997315453,-0.63628927873166
486,30,30.7794177405988,0.193547184411524,-0.779417740598781
504,30,30.8114068171266,0.263119727165138,-0.811406817126649
522,30,30.7251216266464,0.751471706922923,-0.725121626646356
540,30,30.5333501900857,1.57395356635198,-0.533350190085656
558,30,30.280369919834,2.47887321702483,-0.280369919833998
576,30,30.0245104682228,3.23007157155521,-0.0245104682227648
594,30,29.8148033994601,3.70753309394045,0.185196600539875
612,30,29.6883786140151,3.82172753186256,0.311621385984925
630,30,29.6600820328297,3.59099517617746,0.339917967170315
648,30,29.7184629593319,3.13484005463971,0.281537040668052
666,30,29.8355398551714,2.58729562645507,0.164460144828585
684,30,29.9736382700012,2.09520171248746,0.0263617299988432
702,30,30.0945257725344,1.78081031012843,-0.0945257725344177
720,30,30.1704812703448,1.69547384099997,-0.170481270344755
738,30,30.1885422379046,1.83300964961455,-0.188542237904631
756,30,30.1514325743092,2.13570574217414,-0.151432574309204
