Tempo,Referencia_Temperatura,Saida_Temperatura,Sinal_Controle_Temperatura,Erro_Temperatura
18,30,22,0,8
36,30,22,0,8
54,30,22,0,8
72,30,22,0,8
90,30,22,0,8
108,30,21.2916,6.70048000000001,8.7084
126,30,20.60601048,9.83640454400002,9.39398952
144,30,19.942496942544,13.0645523176832,10.057503057456
162,30,19.3003485409941,16.3819537330538,10.6996514590059
180,30,19.2682515387741,15.5422404330895,10.7317484612259
198,30,19.5471294261158,15.5201843253743,10.4528705738842
216,30,20.1169371795872,14.9025320518653,9.88306282041276
234,30,20.9766270240609,13.5384165030944,9.02337297593905
252,30,21.751659246882,14.0613083163393,8.24834075311801
270,30,22.4955212361967,14.2303312580019,7.50447876380326
288,30,23.1609899098894,14.6591625067489,6.83901009011057
306,30,23.6818990385472,15.6037621668987,6.31810096145283
324,30,24.2250851090119,15.5609882951319,5.7749148909881
342,30,24.7683093652857,15.5206869804817,5.23169063471427
360,30,25.3326221239204,15.2200945266241,4.66737787607961
378,30,25.9640337488899,14.4289701952327,4.03596625111008
396,30,26.576159542045,13.9859158595859,3.42384045795502
414,30,27.1648122620165,13.4930133331571,2.83518773798348
432,30,27.7078651184721,13.0933339141314,2.2921348815279
450,30,28.1623143611705,12.9949906252865,1.83768563882952
468,30,28.5591324560437,12.7776836834571,1.4408675439563
486,30,28.8975621554689,12.6132538307531,1.10243784453111
504,30,29.1874297430156,12.4388432664493,0.81257025698444
522,30,29.4572789503136,12.1077809630337,0.54272104968641
540,30,29.6988241271931,11.8264459359287,0.301175872806912
558,30,29.9170222071993,11.5233808188428,0.0829777928006905
576,30,30.1120162078429,11.2270099728002,-0.112016207842903
594,30,30.270723411685,11.0368848667863,-0.270723411685029
612,30,30.3978889074549,10.8606846341168,-0.397888907454906
630,30,30.4928700712742,10.7330699519766,-0.492870071274151
648,30,30.5571814605545,10.6463597539992,-0.557181460554538
666,30,30.6011900911688,10.5396182678679,-0.601190091168753
684,30,30.627315334622,10.451321649842,-0.627315334621976
702,30,30.6404774986107,10.3617172194652,-0.640477498610664
720,30,30.6449392531727,10.2673079068396,-0.644939253172733
738,30,30.6394270032101,10.2003170287465,-0.639427003210088
756,30,30.6257823630103,10.1431117877299,-0.625782363010273
774,30,30.6042460447432,10.1047936056517,-0.604246044743196
792,30,30.5746428662352,10.0894056906256,-0.574642866235155
810,30,30.5396198490367,10.078626948667,-0.539619849036736
828,30,30.5003518164228,10.0783177276879,-0.500351816422789
846,30,30.4586865724866,10.0818969576739,-0.458686572486645
864,30,30.4168143888528,10.0833131456597,-0.416814388852767
882,30,30.3752640669017,10.0897516677672,-0.375264066901735
900,30,30.3349696024436,10.09706738873,-0.334969602443646
918,30,30.2962858748759,10.1071239844387,-0.296285874875885
936,30,30.2589905495117,10.122974514247,-0.258990549511672
954,30,30.2234696744256,10.1404500781433,-0.223469674425608
972,30,30.1897688344107,10.160797815935,-0.189768834410728
990,30,30.1580749766226,10.1825356250532,-0.158074976622562
1008,30,30.1288470617293,10.2028923280195,-0.128847061729278
1026,30,30.1021781154926,10.2229997541114,-0.102178115492595
1044,30,30.0782466469611,10.241525973256,-0.0782466469611229
1062,30,30.0571013993918,10.2584650837058,-0.0571013993917653
1080,30,30.0385382498355,10.274973242786,-0.0385382498354687
1098,30,30.022445098512,10.2903205345663,-0.0224450985120193
1116,30,30.008602059696,10.3050356377223,-0.00860205969595995
1134,30,29.9967890293404,10.3191538502629,0.00321097065961595
1152,30,29.9868946563071,10.3319703784563,0.0131053436928568
1170,30,29.9787528564003,10.343740541358,0.0212471435997159
1188,30,29.9722456806392,10.3541326360236,0.0277543193608132
1206,30,29.9672647737877,10.3630101504207,0.0327352262122638
1224,30,29.9636434556586,10.3707261519355,0.0363565443413769
1242,30,29.9612392836306,10.3772009087599,0.0387607163693922
1260,30,29.9598865247178,10.3826720560656,0.0401134752821513
1278,30,29.9594110865703,10.3873541112206,0.0405889134297013
1296,30,29.9596748435726,10.391195652752,0.0403251564273752
1314,30,29.9605389016575,10.3943582508383,0.0394610983425387
1332,30,29.9618893357012,10.396847635816,0.0381106642987916
1350,30,29.96363596748,10.3986461900875,0.0363640325200336
1368,30,29.9656880913693,10.3998768634821,0.0343119086307091
1386,30,29.9679718724434,10.400556640921,0.0320281275565542
1404,30,29.9704171796939,10.4007749595997,0.0295828203060857
1422,30,29.9729546198542,10.4006484907594,0.0270453801458288
1440,30,29.9755277591143,10.4002181649169,0.0244722408857001
1458,30,29.9780841006414,10.3995726504,0.0219158993586497
1476,30,29.9805807913494,10.3987613648091,0.0194192086506213
1494,30,29.9829870756595,10.3978034130466,0.0170129243405128
1512,30,29.9852773824273,10.3967472107369,0.0147226175726907
1530,30,29.9874349715018,10.3956086267545,0.0125650284982406
1548,30,29.9894484398585,10.3944126056576,0.010551560141451
1566,30,29.9913086836536,10.3931965041457,0.00869131634643594
1584,30,29.9930112480687,10.3919775226007,0.00698875193125303
1602,30,29.9945534639929,10.3907841404089,0.005446536007085
1620,30,29.9959350231562,10.3896373012558,0.00406497684383922
1638,30,29.997159040078,10.3885451706036,0.00284095992201472
1656,30,29.9982302320815,10.3875208647716,0.00176976791846428
1674,30,29.9991557571889,10.3865669975999,0.000844242811087526
1692,30,29.9999445301006,10.3856843067351,5.54698994292835e-05
1710,30,30.000606003301,10.38487665823,-0.000606003301022895
1728,30,30.0011505201784,10.3841423020549,-0.00115052017841322
1746,30,30.0015883877393,10.3834821359681,-0.00158838773925041
1764,30,30.0019296592922,10.3828966410429,-0.00192965929224798
1782,30,30.0021844082422,10.3823828745095,-0.0021844082422291
1800,30,30.002362249376,10.3819392814481,-0.00236224937596319
1818,30,30.0024725579433,10.381561815557,-0.00247255794327117
1836,30,30.0025244541957,10.3812451937874,-0.0025244541957008
1854,30,30.0025265083154,10.3809849945488,-0.00252650831536627
1872,30,30.002486862775,10.3807754113744,-0.00248686277504007
1890,30,30.0024130340326,10.380611378063,-0.00241303403264581
