Tempo,Referencia_Umidade,Saida_Umidade,Sinal_Controle_Umidade,Erro_Umidade
18,50,50,0,0
36,50,50,0,0
54,50,45.24,17.2365253668072,4.76
72,50,41.3563086977551,20.2115118347913,8.64369130224487
90,50,41.1368873163292,12.5073449799347,8.86311268367078
108,50,41.3052425249946,12.3821601161127,8.69475747500544
126,50,40.0145882442154,18.4688125303159,9.98541175578456
144,50,38.9728345166868,20.2360429309613,11.0271654833132
162,50,39.2112365865694,18.0961443367022,10.7887634134306
180,50,39.7047036307907,18.1347114664453,10.2952963692093
198,50,39.7521923881703,20.3549281672815,10.2478076118297
216,50,39.8568747324019,21.2723050447862,10.1431252675981
234,50,40.3890714211916,20.7693631832014,9.61092857880836
252,50,41.0297135009123,20.8575560650437,8.97028649908766
270,50,41.5175317559626,21.6904646344507,8.48246824403736
288,50,41.9958408681274,22.1280173796215,8.00415913187257
306,50,42.5950274843303,22.0495197000577,7.40497251566975
324,50,43.2170230247097,22.1149178245058,6.7829769752903
342,50,43.7667388972897,22.4261673589011,6.23326110271027
360,50,44.2839859043289,22.6149746129061,5.71601409567108
378,50,44.8147987523623,22.6157061091403,5.18520124763773
396,50,45.3303842512689,22.6436020890028,4.66961574873108
414,50,45.7977075736315,22.7496499247989,4.20229242636853
432,50,46.2283589487102,22.8166799737727,3.77164105128981
450,50,46.639478241094,22.8151848224468,3.36052175890598
468,50,47.023950187031,22.8150805467029,2.97604981296895
486,50,47.3715383999626,22.8391091791637,2.62846160003744
504,50,47.6866066288134,22.8506928785132,2.31339337118663
522,50,47.9764556935035,22.8378080672578,2.02354430649647
540,50,48.2405597985273,22.8231114978791,1.75944020147271
558,50,48.4767522207509,22.816129064862,1.52324777924908
576,50,48.6875409168314,22.8056971466714,1.31245908316858
594,50,48.8767014087226,22.7872012514518,1.12329859127744
612,50,49.0454500220482,22.7679579398863,0.9545499779518
630,50,49.1942044612698,22.7517792126395,0.805795538730237
648,50,49.3248037151919,22.735329962262,0.675196284808074
666,50,49.4395422869215,22.7168883507213,0.560457713078485
684,50,49.5398306401636,22.6987830466361,0.460169359836428
702,50,49.6266803197647,22.6824636171896,0.373319680235277
720,50,49.7014773865414,22.6669317312955,0.298522613458587
738,50,49.7657223633987,22.6515304937144,0.234277636601291
756,50,49.820570208603,22.6369613293322,0.179429791397034
774,50,49.8669603746543,22.6237282180103,0.13303962534571
792,50,49.9058863471916,22.6115044340302,0.0941136528084456
810,50,49.9383332047405,22.6000113570542,0.0616667952595122
828,50,49.9651243411851,22.5894218314149,0.0348756588148689
846,50,49.986956932499,22.5798756483916,0.0130430675010231
864,50,50.0044975199845,22.5712346699189,-0.00449751998453962
882,50,50.0183719259129,22.5633565422964,-0.0183719259129234
900,50,50.0291170814872,22.5562491700716,-0.0291170814872359
918,50,50.0371923902101,22.549922042228,-0.0371923902100946
936,50,50.0430152306852,22.544294381592,-0.0430152306851781
954,50,50.0469630374845,22.5392792425028,-0.0469630374844527
972,50,50.0493600816389,22.534841068022,-0.0493600816389304
990,50,50.0504826405106,22.5309507754248,-0.0504826405106229
1008,50,50.050573330284,22.5275520230727,-0.0505733302840028
1026,50,50.0498448513343,22.5245865631771,-0.0498448513343135
1044,50,50.0484776947256,22.5220151487204,-0.0484776947255838
1062,50,50.0466233187466,22.5198041339016,-0.0466233187466116
1080,50,50.044410601585,22.5179132178052,-0.0444106015850494
1098,50,50.0419488744375,22.5163028365355,-0.0419488744374874
1116,50,50.0393285566358,22.5149415297094,-0.0393285566357733
1134,50,50.0366232927469,22.5138019327141,-0.0366232927469028
1152,50,50.0338931646282,22.5128563020868,-0.0338931646282106
1170,50,50.0311867387961,22.5120785162949,-0.0311867387961016
1188,50,50.0285421316978,22.5114465497266,-0.0285421316977761
1206,50,50.0259884082515,22.5109412162848,-0.0259884082514503
