Tempo,Ref_T,Ref_U,Saida_T,Saida_U,Controle_T,Controle_U,Erro_T,Erro_U
0,30,50,22,50,0,0,0,0
18,30,50,22,50,0,0,0,0
36,30,50,22,50,0,0,0,0
54,30,50,22,50,0,0,0,0
72,30,50,22,50,0,0,0,0
90,30,50,22,50,0,0,0,0
108,30,50,22,50,0,0.00548409612124838,8,0
126,30,50,22,50.0001361226789,4.96527054247413,0.0109681922424968,8,-0.000136122678867423
144,30,50,22,50.0014291857117,9.93054108494825,0.0164522883637451,8,-0.00142918571165751
162,30,50,21.9999814440641,50.0037650761841,14.8958116274224,0.0219363844849935,8.00001855593592,-0.00376507618412347
180,30,50,22.024856167338,50.0070409365221,19.6403348438751,0.0159715768500397,7.97514383266202,-0.007040936522138
198,30,50,22.4919880512741,50.0108798770724,21.3165717404498,0.010006769215086,7.50801194872589,-0.0108798770724121
216,30,50,23.3872101476505,49.934087841341,21.557048526313,0.434172544095911,6.6127898523495,0.0659121586590246
234,30,50,24.6957364782768,49.1691316060776,20.6190168719334,0,5.30426352172315,0.830868393922373
252,30,50,26.3704738272655,47.7985705497643,19.6190168719334,1.71821484172289,3.62952617273445,2.2014294502357
270,30,50,28.1325988216771,45.7336012671784,18.6190168719334,8.71821484172289,1.86740117832294,4.26639873282161
288,30,50,29.8483748886675,43.6142578512688,17.6190168719334,15.7182148417229,0.151625111332475,6.38574214873118
306,30,50,31.4266619229743,42.8130829187541,14.6151633073862,22.7182148417229,-1.42666192297434,7.18691708124587
324,30,50,32.8135074933765,43.3903831093252,9.61516330738622,22.9022918055893,-2.81350749337655,6.60961689067475
342,30,50,33.9303545970908,45.1945061230459,4.61516330738622,21.4022918055893,-3.93035459709081,4.80549387695405
360,30,50,34.7802364613952,46.79951316946,0.814483239379421,19.9022918055893,-4.78023646139522,3.20048683054003
378,30,50,35.2201406497028,47.9219827006625,0,18.4022918055893,-5.22014064970276,2.07801729933752
396,30,50,35.2154307478954,48.6554284191438,0,17.1640275956798,-5.21543074789543,1.34457158085623
414,30,50,34.8129785992358,49.3427409721658,0,15.8206855591262,-4.81297859923583,0.657259027834243
432,30,50,34.1397517883231,50.3182759691796,1.7006700670067,13.9811903011291,-4.13975178832307,-0.318275969179638
450,30,50,33.457432553765,51.5507991126005,3.5013501350135,10.3317597006333,-3.457432553765,-1.55079911260054
468,30,50,32.8294232009422,52.7244854383965,5.07561475188797,4.13646232133736,-2.82942320094219,-2.72448543839648
486,30,50,32.2646204038494,53.0853453783033,6.12525642292451,2.63646232133736,-2.26462040384942,-3.08534537830334
504,30,50,31.9176170910199,52.2532269659827,6.21938239603137,4.01328459180882,-1.91761709101993,-2.25322696598267
522,30,50,31.8252034852384,51.2740020672876,5.82667493584696,1.59804928691961,-1.82520348523842,-1.27400206728758
540,30,50,31.9803791765999,50.392955729146,4.84501846002706,0,-1.98037917659991,-0.392955729145967
558,30,50,32.2361158505177,48.8795505634676,3.84501846002706,0,-2.23611585051769,1.12044943653238
576,30,50,32.4715895919595,47.0095178332751,2.84501846002706,6.92471031768032,-2.47158959195946,2.99048216672486
594,30,50,32.7034685146742,45.3579758434812,1.84501846002706,13.9247103176803,-2.70346851467424,4.6420241565188
612,30,50,32.8621004812338,45.3300085874543,0.84501846002706,20.9247103176803,-2.8621004812338,4.66999141254566
630,30,50,32.8981240640542,46.8500363392915,0,19.4247103176803,-2.89812406405422,3.14996366070845
648,30,50,32.7030308714132,49.6329935764193,0,17.9247103176803,-2.70303087141325,0.367006423580719
666,30,50,32.2877929068289,51.9628671152871,0,13.5055425603125,-2.28779290682888,-1.96286711528708
684,30,50,31.6935307643757,53.8209940969183,0.339292185046504,6.50554256031245,-1.69353076437568,-3.82099409691828
702,30,50,31.0856082482908,54.6481166427382,0.739292185046503,1.37462946900332,-1.08560824829084,-4.64811664273824
720,30,50,30.5439424395308,54.1116343922434,1.47058163500142,1.99617918632956,-0.543942439530763,-4.11163439224336
738,30,50,30.1228154391509,52.8165432243427,2.44280385722364,7.65205352516591,-0.12281543915087,-2.81654322434265
756,30,50,29.8795888583193,51.9474402610323,3.63328004769983,8.18432823735329,0.120411141680702,-1.94744026103234
774,30,50,29.7607923130538,52.2777803613884,4.61167385120574,6.96640866378583,0.239207686946212,-2.27778036138835
792,30,50,29.6778633855054,52.6344731786123,5.51267621633695,5.6420603694651,0.322136614494596,-2.6344731786123
810,30,50,29.5873331527895,52.6649133112941,6.63136958248529,4.36401881351266,0.412666847210456,-2.6649133112941
828,30,50,29.5998784965857,52.3319734058284,7.04445796165694,4.22428337926817,0.400121503414255,-2.3319734058284
846,30,50,29.7231169072286,51.6670036274793,7.09765652529572,4.69333542169227,0.27688309277141,-1.66700362747929
864,30,50,29.9488689153222,50.8988321931926,6.1189331210404,3.34691289062381,0.0511310846777988,-0.898832193192561
882,30,50,30.283224993045,50.1241489623473,5.1189331210404,0.557524590213462,-0.283224993044982,-0.124148962347299
900,30,50,30.6401978742278,48.9627909594417,4.1189331210404,0,-0.64019787422783,1.03720904055834
918,30,50,30.9798776068961,47.2120368913956,3.1189331210404,5.44147157190636,-0.979877606896132,2.78796310860437
936,30,50,31.2506401474298,45.5849264874591,2.1189331210404,12.4414715719064,-1.25064014742979,4.41507351254086
954,30,50,31.4680416717178,45.2982251108906,1.1189331210404,19.4414715719064,-1.46804167171779,4.70177488910938
972,30,50,31.5755967884208,46.6446150293878,0.338539733302379,17.9414715719064,-1.57559678842084,3.35538497061222
990,30,50,31.4740096240797,49.2645794257103,0.240510741749558,16.4414715719064,-1.47400962407967,0.735420574289705
1008,30,50,31.1484777450873,51.4392069145282,0.889312085466156,12.9808328789988,-1.14847774508733,-1.43920691452817
1026,30,50,30.6406213764327,53.1731450570025,1.69098641632337,5.98083287899882,-0.640621376432748,-3.17314505700253
1044,30,50,30.1205826585376,54.061322338889,2.5269786342222,0.189853781089025,-0.120582658537586,-4.06132233888898
1062,30,50,29.6550960606632,53.5549505223214,3.82990769091003,0.382567108030541,0.34490393933676,-3.55495052232143
1080,30,50,29.34848948801,52.1380276316084,5.52324102424336,1.76806881069416,0.651510511989969,-2.13802763160842
1098,30,50,29.2595313881802,50.9666841703827,7.1413324561568,0,0.740468611819825,-0.966684170382706
1116,30,50,29.3418761704093,50.0665263356757,7.62966139452969,0,0.658123829590725,-0.0665263356756896
1134,30,50,29.5264461997463,48.8331266545937,7.79944068145668,0,0.473553800253711,1.16687334540632
1152,30,50,29.8342470374178,47.612876577044,6.85142844904078,2.82335959289524,0.165752962582232,2.387123422956
1170,30,50,30.2957866187605,46.4012672396876,5.85142844904078,9.82335959289524,-0.29578661876053,3.59873276031243
1188,30,50,30.7797704455715,45.7733733740625,4.85142844904078,16.8233595928952,-0.779770445571458,4.22662662593748
1206,30,50,31.243781000848,46.4714527155137,3.85142844904078,16.2231495718931,-1.24378100084798,3.5285472844863
1224,30,50,31.5343495488654,48.3095161624847,2.85142844904078,14.7231495718931,-1.53434954886538,1.69048383751533
1242,30,50,31.5869049687483,49.7740704962483,2.13487014222103,13.2231495718931,-1.58690496874826,0.225929503751701
1260,30,50,31.4394661568723,50.8737144830712,2.16296792249639,10.6404479088091,-1.43946615687229,-0.873714483071225
1278,30,50,31.2293295096989,51.6339531772808,2.77304875939605,7.99485860864296,-1.22932950969886,-1.63395317728081
1296,30,50,30.9737021832727,51.8924857783516,3.49938533719264,6.8657972368018,-0.973702183272714,-1.89248577835164
1314,30,50,30.703949499181,51.7342112324497,4.29350298425146,6.83812261466684,-0.703949499181029,-1.73421123244968
1332,30,50,30.5026832925227,51.5183765136755,5.03183409493921,6.97048414331273,-0.502683292522708,-1.51837651367552
1350,30,50,30.4112930391626,51.4237416892001,5.14146604482175,6.83721535611564,-0.411293039162622,-1.42374168920013
1368,30,50,30.4062051648081,51.3648838864955,5.07384689333304,6.62182977183501,-0.406205164808057,-1.3648838864955
1386,30,50,30.4709295439452,51.2100315976032,4.76826102171879,6.68484737330301,-0.470929543945154,-1.21003159760316
1404,30,50,30.5937084334656,50.9382106653515,4.2248199896375,7.06859619225787,-0.593708433465572,-0.938210665351491
1422,30,50,30.7235805701286,50.6067864175974,3.61450703719291,7.71736217023038,-0.723580570128576,-0.606786417597363
1440,30,50,30.8445481545693,50.2983822018717,3.02428262895436,8.46742914049558,-0.844548154569331,-0.298382201871661
1458,30,50,30.9299621840172,50.1387259546135,2.51914801890718,8.88224114920853,-0.929962184017235,-0.138725954613484
1476,30,50,30.9545850971168,50.1494060182908,2.17948265219438,8.7792898794762,-0.954585097116762,-0.149406018290762
1494,30,50,30.9104862350878,50.2723097996322,2.06447532329597,8.30812822228692,-0.910486235087767,-0.272309799632204
1512,30,50,30.8019290830429,50.4237455878033,2.12508750634477,7.70704936279553,-0.8019290830429,-0.423745587803268
1530,30,50,30.6466653957814,50.5415063573429,2.36870848339311,7.1445031007674,-0.646665395781369,-0.541506357342939
1548,30,50,30.4711549222229,50.6070739965681,2.77926566814384,6.6566018104266,-0.471154922222887,-0.607073996568118
1566,30,50,30.3021597941253,50.6265731497704,3.23835732251341,6.34632969475234,-0.302159794125288,-0.626573149770358
1584,30,50,30.1568191017851,50.6028625681353,3.67491050707115,6.22631769355222,-0.156819101785054,-0.602862568135308
1602,30,50,30.0493434792678,50.5499213672387,3.97930244793215,6.21300290229856,-0.0493434792677583,-0.549921367238689
1620,30,50,29.9906548726121,50.4845936039859,4.14922598234166,6.26932170083086,0.00934512738791682,-0.484593603985878
1638,30,50,29.9793518061289,50.4030938627208,4.21058194920944,6.3727788954166,0.0206481938710823,-0.403093862720823
1656,30,50,30.0077515232295,50.2967468678235,4.14055240549569,6.5870837440638,-0.00775152322948003,-0.296746867823487
1674,30,50,30.0607899379868,50.1697099046491,3.99865974043103,6.90452919775796,-0.0607899379868186,-0.169709904649075
1692,30,50,30.1245702667995,50.0479608090539,3.80508905256377,7.24279765544989,-0.124570266799509,-0.0479608090539045
1710,30,50,30.1878989041974,49.965636027504,3.58631463577618,7.56298739751927,-0.187898904197382,0.034363972495953
1728,30,50,30.2373343238856,49.9382349503368,3.37910457128733,7.81496512971968,-0.237334323885584,0.0617650496632436
1746,30,50,30.2654478952044,49.9695603152357,3.21405888900027,7.76752961237607,-0.265447895204407,0.0304396847642536
1764,30,50,30.2684060712339,50.0508134319311,3.15121939597652,7.50279777592151,-0.268406071233898,-0.0508134319310898
1782,30,50,30.2457123440058,50.1258806870063,3.14126815704728,7.20048767039818,-0.245712344005838,-0.125880687006344
1800,30,50,30.2017061907061,50.161790272354,3.18293916444388,6.99746107015379,-0.201706190706098,-0.161790272354033
1818,30,50,30.1468876293717,50.1626108736894,3.25987069538134,6.94188140596846,-0.146887629371697,-0.162610873689431
1836,30,50,30.0940820250887,50.1540594234589,3.3524319325413,6.92717408172098,-0.0940820250887242,-0.154059423458918
1854,30,50,30.0480236479907,50.160767147895,3.45589210037668,6.82114273047577,-0.0480236479906537,-0.160767147894951
1872,30,50,30.0107076663301,50.1743230929199,3.54413737699168,6.71202322331583,-0.0107076663300631,-0.174323092919906
1890,30,50,29.9822443094677,50.1696688442009,3.65308170643933,6.65336092428852,0.0177556905323328,-0.169668844200885
1908,30,50,29.9633457225412,50.1421124180479,3.77861785038744,6.69881977455843,0.036654277458787,-0.142112418047901
1926,30,50,29.9560482949944,50.1007640999039,3.88004801571861,6.78536655790298,0.043951705005604,-0.100764099903913
1944,30,50,29.958630369584,50.0646406427656,3.94486006078791,6.88498566133105,0.0413696304160283,-0.0646406427656174
1962,30,50,29.9713792574745,50.0391992284059,3.95504439727839,6.96176487188327,0.0286207425255363,-0.0391992284059413
1980,30,50,29.993399778729,50.025839627239,3.92326136941527,6.9825179107211,0.00660022127100746,-0.0258396272389589
1998,30,50,30.0215223796198,50.0139368007867,3.84917922539086,7.00941301979571,-0.0215223796197996,-0.0139368007866878
2016,30,50,30.0521344629879,49.9902045872058,3.7631484693956,7.09707115307592,-0.0521344629878655,0.00979541279419038
2034,30,50,30.0809854011212,49.9609624894478,3.66547355698451,7.2959096214291,-0.0809854011211719,0.0390375105522125
2052,30,50,30.1053340183258,49.9455810637378,3.58009902705261,7.4920072780621,-0.105334018325763,0.0544189362621523
2070,30,50,30.121416749288,49.9706331965747,3.49102118516578,7.44457176071849,-0.121416749287995,0.0293668034252548
2088,30,50,30.1270928845186,50.031532373367,3.42508053175385,7.2489002516761,-0.127092884518639,-0.0315323733669644
2106,30,50,30.1200408493135,50.0810394954711,3.4210960711502,7.05702119362784,-0.12004084931349,-0.0810394954711171
2124,30,50,30.1026830997669,50.0948597198236,3.44150631709367,6.97514186815752,-0.102683099766864,-0.0948597198235746
2142,30,50,30.0797310998841,50.0820655488007,3.4662002156429,6.98099419445722,-0.0797310998841354,-0.0820655488006565
2160,30,50,30.055972822035,50.0676239968581,3.49524887214254,6.98977839590824,-0.0559728220349953,-0.0676239968580603
2178,30,50,30.0362005697959,50.0691836644078,3.52872517719537,6.96157639702973,-0.0362005697958772,-0.0691836644077881
2196,30,50,30.0201500698021,50.081674520025,3.56670386693057,6.88549615513357,-0.020150069802078,-0.0816745200249684
2214,30,50,30.0066006786705,50.0881935394312,3.58518625731973,6.80361682966325,-0.00660067867049108,-0.0881935394311668
2232,30,50,29.9959500682627,50.076970510349,3.61039461208874,6.80946915596296,0.00404993173731327,-0.0769705103490423
2250,30,50,29.9892762119112,50.049968133598,3.65146659073131,6.88300577720033,0.0107237880888498,-0.049968133598
