Tempo,Referencia_Temperatura,Saida_Temperatura,Controle_Temperatura,Erro_Temperatura
0,30,22,0,8
18,30,22,0,8
36,30,22,0,8
54,30,22,0,8
72,30,22,0,8
90,30,22,1.86516786570743,8
108,30,22,3.73033573141487,8
126,30,22,5.5955035971223,8
144,30,22,7.46067146282974,8
162,30,22.1640601654676,8.52938624101021,7.83593983453238
180,30,22.4963914635113,9.1474595710657,7.50360853648873
198,30,22.991575563662,9.44004453502039,7.00842443633801
216,30,23.6443686056919,9.40003088680318,6.35563139430807
234,30,24.3796395680937,9.06190635287328,5.62036043190629
252,30,25.1510402938388,8.48529603563533,4.84895970616123
270,30,25.9264836828943,7.77333094819695,4.07351631710572
288,30,26.6749274517915,7.05628790887708,3.32507254820845
306,30,27.3693262278564,6.4362897545766,2.63067377214358
324,30,27.9889256659501,5.95610795382868,2.01107433404994
342,30,28.5230146065312,5.34905848504458,1.47698539346875
360,30,28.9732108751921,4.646529994761,1.02678912480791
378,30,29.3507260372796,3.95991513518103,0.649273962720351
396,30,29.6706926293488,3.28790904265073,0.32930737065119
414,30,29.9245161005133,2.6714836639169,0.0754838994867129
432,30,30.1052821681048,2.17726513721819,-0.105282168104814
450,30,30.2162570552557,1.82817617210036,-0.216257055255696
468,30,30.2610540255061,1.63777047288215,-0.261054025506091
486,30,30.24676724599,1.6344883325446,-0.246767245990018
504,30,30.1863314339882,1.73470927819197,-0.186331433988187
522,30,30.0946202174602,1.91527335239639,-0.0946202174601538
540,30,29.9873371539686,2.15267494736898,0.0126628460313576
558,30,29.8822507430484,2.42860115105879,0.117749256951555
576,30,29.7893468428447,2.71569062431451,0.210653157155296
594,30,29.7158269888079,2.99171467522333,0.284173011192113
612,30,29.6664753895025,3.2359661296242,0.333524610497452
630,30,29.6441917546898,3.40488310750412,0.355808245310197
648,30,29.6492825073624,3.47134698085643,0.350717492637614
666,30,29.6799496987357,3.45594494695124,0.320050301264278
684,30,29.7325187268951,3.3688105090551,0.267481273104934
702,30,29.7994962096249,3.22786605052099,0.200503790375109
720,30,29.8710229671283,3.0573856294143,0.128977032871703
738,30,29.9392301012532,2.87818696497356,0.060769898746841
756,30,29.9974982241493,2.71201298949288,0.00250177585072464
