Tempo,Referencia_Umidade,Saida_Umidade,Sinal_Controle_Umidade,Erro_Umidade
18,50,50,0,0
36,50,50,0,0
54,50,45.24,21.42,4.76
72,50,41.459013,31.2944415,8.54098699999999
90,50,42.283791501225,24.2914577444875,7.716208498775
108,50,44.7036609542855,18.9097064575525,5.29633904571445
126,50,45.4521791774152,23.0292828824475,4.54782082258481
144,50,45.2247247514059,27.8237746570409,4.77527524859408
162,50,45.9065775936319,26.6881656393026,4.09342240636813
180,50,47.3917293565639,23.4153995937443,2.60827064343606
198,50,48.4429029398311,22.9595573166241,1.55709706016887
216,50,48.7711338961531,24.3634137097939,1.22886610384687
234,50,49.0173850182918,24.5261786247371,0.982614981708167
252,50,49.5065696721482,23.3086574175149,0.493430327851776
270,50,49.9497145639231,22.5395898761667,0.050285436076912
288,50,50.104236740231,22.7556725843691,-0.104236740231038
306,50,50.1056145123628,23.0063985922763,-0.105614512362848
324,50,50.1534023022449,22.7413018258894,-0.153402302244871
342,50,50.2369932597932,22.3840169455636,-0.236993259793181
360,50,50.2543084287332,22.3547839705336,-0.254308428733189
378,50,50.2024809799202,22.4954836137053,-0.202480979920232
396,50,50.153578037441,22.5106514672757,-0.153578037441022
414,50,50.1359997891998,22.4151586806824,-0.135999789199786
432,50,50.1205855141126,22.3813665274925,-0.120585514112562
450,50,50.0879614788385,22.4370533789949,-0.0879614788385297
468,50,50.0534946104958,22.48292547657,-0.0534946104957825
486,50,50.0338430205605,22.4756765893452,-0.033843020560532
504,50,50.0244577968425,22.4616854059255,-0.024457796842519
522,50,50.0142677458472,22.4765412895471,-0.0142677458472065
540,50,50.0027975474684,22.5006432073375,-0.00279754746841121
558,50,49.9957875787059,22.5078488962769,0.00421242129408483
576,50,49.9941265070681,22.5034099917692,0.00587349293191153
594,50,49.9938613376073,22.5042178575331,0.00613866239270777
612,50,49.9928116141312,22.5114806054503,0.00718838586882242
630,50,49.9921911149026,22.515767597961,0.00780888509736855
648,50,49.9930923404525,22.5143755270781,0.00690765954748684
666,50,49.9946748328901,22.5125105919824,0.00532516710988773
684,50,49.995800709843,22.5132717141244,0.00419929015696141
702,50,49.9964895324893,22.5145234112007,0.00351046751074335
720,50,49.9972857621111,22.5140732569502,0.00271423788888825
738,50,49.9982290815697,22.5127778975748,0.00177091843031718
756,50,49.9989666621137,22.512230883259,0.00103333788629101
774,50,49.9993784931212,22.5123694737563,0.000621506878772493
792,50,49.9996522832379,22.5122718336857,0.000347716762092887
810,50,49.9999235140357,22.51177273371,7.64859642927718e-05
828,50,50.0001384218279,22.5113863532227,-0.000138421827948321
846,50,50.0002301029719,22.5113343927452,-0.000230102971947588
864,50,50.0002395659282,22.5113601202439,-0.000239565928232821
882,50,50.0002390482079,22.5112615929337,-0.000239048207930637
900,50,50.0002409693987,22.5111323880309,-0.00024096939865359
918,50,50.0002211209574,22.5111050636988,-0.000221120957377252
936,50,50.000178342879,22.5111473076902,-0.000178342879017634
954,50,50.000135567446,22.5111650695424,-0.000135567446029938
972,50,50.0001051956897,22.5111484078567,-0.000105195689727111
990,50,50.0000806259704,22.5111456302361,-8.06259704262402e-05
1008,50,50.0000552130288,22.5111705360498,-5.5213028765877e-05
1026,50,50.0000323116996,22.5111951596334,-3.23116995843975e-05
1044,50,50.0000168499825,22.5112027788522,-1.68499824866331e-05
1062,50,50.0000076494205,22.5112048329559,-7.64942045350381e-06
1080,50,50.0000007992122,22.5112134330589,-7.99212166668894e-07
1098,50,49.9999951961882,22.511224546644,4.80381177681011e-06
1116,50,49.9999920067699,22.5112300948843,7.99323007782959e-06
1134,50,49.9999913343226,22.5112307386757,8.66567740587243e-06
1152,50,49.9999917786635,22.5112317270859,8.22133654310164e-06
1170,50,49.9999923252931,22.5112342666023,7.67470685048011e-06
1188,50,49.9999930669627,22.5112358597022,6.93303731225114e-06
