Tempo,Referencia_Temperatura,Referencia_Umidade,Saida_Temperatura,Saida_Umidade,Controle_Temperatura,Controle_Umidade,Erro_Temperatura,Erro_Umidade
18,30,55,22,50,0,0,8,5
36,30,55,22,50,0,0,8,5
54,30,55,22,50,0,0,8,5
72,30,55,22,50,0,0,8,5
90,30,55,22,50,0,0,8,5
108,30,55,22,50,0,0,8,5
126,30,55,22,50,0,0,8,5
144,30,55,22,50,4.01759999999999,0.603,8,5
162,30,55,22,50.1473915823406,8.03519999999999,1.13257360788853,8,4.8526084176594
180,30,55,22,51.5282401618133,12.0528,1.05758856178111,8,3.47175983818667
198,30,55,21.9918626513275,53.7347484137861,16.1295552699098,0.636484770207404,8.00813734867253,1.26525158621388
216,30,55,22.2271108306928,55.4777541100259,18.4056964209967,0.335298699112836,7.77288916930724,-0.477754110025899
234,30,55,22.7421725894411,56.1908976590445,19.5879251083957,0.249875600364227,7.25782741055889,-1.19089765904451
252,30,55,23.6445560638645,55.9194652591662,18.9125851862277,0.375453287831526,6.35544393613554,-0.919465259166181
270,30,55,24.9663185329899,54.9301120412646,16.4196192239305,0.706439460552579,5.03368146701009,0.0698879587354213
288,30,55,26.5015379088079,53.698000843177,13.5347873792088,1.14279953434234,3.49846209119214,1.30199915682296
306,30,55,28.0934298687456,52.612194842627,10.3951987051861,1.60925955204184,1.90657013125435,2.38780515737299
324,30,55,29.5275697435578,51.9700911123071,7.84939717895705,2.0131143100261,0.472430256442195,3.02990888769288
342,30,55,30.6142183039713,51.9504454812352,6.42350852458105,2.26767477485755,-0.614218303971299,3.04955451876481
360,30,55,31.31346213626,52.5527712653231,5.7571163940789,2.33169820709332,-1.31346213625999,2.4472287346769
378,30,55,31.6197644993953,53.6674690493426,5.91146185490831,2.18468280388251,-1.61976449939526,1.33253095065739
396,30,55,31.622152415487,55.0113361841399,6.41261275458499,1.88532950940836,-1.62215241548703,-0.0113361841398785
414,30,55,31.4652800324294,56.2107559160773,6.74875114052847,1.5389200773504,-1.46528003242937,-1.21075591607732
432,30,55,31.2650656280977,56.9869229737384,6.78620658424537,1.23157569635702,-1.26506562809774,-1.98692297373844
450,30,55,31.1357255005786,57.2031067804358,6.22050927959193,1.03007624827178,-1.13572550057858,-2.20310678043577
468,30,55,31.1288446098223,56.8982635932382,5.13773371212597,0.956860910719443,-1.12884460982232,-1.89826359323817
486,30,55,31.2280060287753,56.245562624884,3.82004254439892,0.995816246218411,-1.22800602877532,-1.24556262488397
504,30,55,31.3872145705653,55.465670801219,2.47715893166841,1.11149745517422,-1.38721457056533,-0.465670801219005
522,30,55,31.5249746955117,54.7863912860494,1.47135711399408,1.24721573212441,-1.52497469551172,0.213608713950606
540,30,55,31.5692267837427,54.3770246681153,0.982869744633184,1.34929426876174,-1.56922678374275,0.622975331884732
558,30,55,31.4806487834196,54.3080224314678,1.03116089065938,1.38189147514114,-1.4806487834196,0.691977568532216
576,30,55,31.250118870619,54.5517558801075,1.57825789131628,1.33095913263012,-1.25011887061897,0.448244119892493
